,ast_pct,blk_pct,efg_pct,fg3a_per_fga_pct,ft_rate,fta_per_fga_pct,g,losses,losses_conf,losses_home,losses_visitor,opp_pts,pts,school_name,sos,srs,tov_pct,trb_pct,ts_pct,win_loss_pct,wins,wins_conf,wins_home,wins_visitor
0,65.2,4.7,.581,.484,.246,.331,31,7,4,0,5,1695,1990,Air Force,2.49,10.20,17.0,45.7,.609,.774,24,12,16,6
1,58.6,6.6,.514,.356,.242,.374,31,7,2,1,5,2035,2306,Alabama-Birmingham,1.57,9.64,15.6,44.2,.539,.774,24,12,14,7
2,50.0,8.3,.508,.304,.294,.415,31,13,6,4,7,2094,2178,Alabama,8.08,10.79,17.5,53.2,.547,.581,18,10,14,3
3,54.2,4.8,.515,.355,.292,.411,32,11,3,3,7,2065,2194,Albany (NY),-4.25,-0.44,18.5,51.7,.553,.656,21,13,10,8
4,54.1,6.9,.481,.218,.232,.327,33,13,7,2,7,2267,2433,Arizona,10.09,15.12,15.7,49.8,.517,.606,20,11,12,4
5,58.9,10.7,.507,.290,.271,.392,32,10,6,1,5,2076,2359,Arkansas,6.17,15.01,16.4,50.2,.541,.688,22,10,15,3
6,57.7,5.9,.565,.380,.244,.353,31,11,5,2,8,2356,2499,Belmont,-6.72,-3.53,19.1,50.3,.588,.645,20,15,10,7
7,67.3,7.9,.539,.299,.287,.425,36,8,5,2,3,2383,2671,Boston College,6.10,13.79,16.7,52.8,.567,.778,28,11,14,9
8,62.9,8.2,.487,.285,.247,.345,33,11,7,1,8,2148,2359,Bradley,5.38,11.78,18.1,52.0,.524,.667,22,11,13,5
9,62.9,3.6,.528,.322,.299,.429,32,5,0,1,3,1785,2114,Bucknell,-2.29,7.29,20.2,52.4,.563,.844,27,14,14,11
10,56.1,5.0,.502,.283,.329,.448,31,11,6,3,4,2000,2128,University of California,8.84,12.31,16.5,51.2,.549,.645,20,12,12,7
11,54.8,13.5,.518,.246,.295,.419,34,4,2,0,2,2283,2781,Connecticut,6.57,21.22,16.3,56.1,.556,.882,30,14,16,8
12,66.3,2.8,.527,.398,.221,.290,31,11,5,1,9,2137,2403,Davidson,-3.04,1.89,15.7,54.1,.560,.645,20,10,14,3
13,55.8,9.1,.555,.353,.343,.450,36,4,2,1,2,2453,2921,Duke,8.77,21.77,16.9,48.1,.598,.889,32,14,14,8
14,61.3,9.1,.569,.348,.302,.407,39,6,6,2,4,2478,3052,Florida,5.49,20.21,18.2,52.7,.603,.846,33,10,16,6
15,56.5,6.3,.537,.311,.230,.347,35,8,3,1,5,2102,2429,George Mason,2.77,12.11,17.1,51.5,.560,.771,27,15,12,8
16,60.5,8.0,.516,.282,.269,.416,30,3,0,0,1,2026,2360,George Washington,-0.33,9.63,16.2,52.4,.543,.900,27,16,15,10
17,65.3,7.0,.534,.373,.226,.320,33,10,6,2,6,1944,2177,Georgetown,6.92,13.98,16.4,53.1,.562,.697,23,10,11,7
18,51.2,4.7,.526,.266,.355,.454,33,4,0,0,2,2402,2643,Gonzaga,5.02,12.32,16.0,52.5,.579,.879,29,14,17,8
