,opp_fg,opp_fg_pct,opp_fga,opp_pts,opp_pts_per_g,opp_trb,team_name,type
0,135th,18th,269th,143rd,50th,195th,xavier,team_stats
1,187th,115th,233rd,150th,98th,234th,wisconsin,team_stats
2,46th,27th,145th,63rd,31st,73rd,winthrop,team_stats
3,268th,30th,316th,245th,39th,268th,wichita-state,team_stats
4,302nd,234th,276th,199th,48th,325th,west-virginia,team_stats
5,306th,168th,298th,310th,201st,180th,washington,team_stats
6,194th,88th,256th,209th,58th,308th,villanova,team_stats
7,249th,83rd,283rd,180th,79th,128th,utah-state,team_stats
8,318th,69th,324th,308th,10th,280th,ucla,team_stats
9,294th,5th,330th,288th,26th,254th,texas,team_stats
10,290th,311th,216th,274th,278th,244th,tennessee,team_stats
11,12th,55th,27th,53rd,27th,161st,texas-am,team_stats
12,301st,19th,326th,330th,179th,333rd,syracuse,team_stats
13,164th,14th,291st,180th,43rd,286th,southern,team_stats
14,19th,40th,49th,48th,4th,199th,southern-illinois,team_stats
15,171st,185th,179th,147th,97th,188th,south-alabama,team_stats
16,116th,93rd,167th,129th,128th,195th,seton-hall,team_stats
17,319th,179th,307th,287th,138th,203rd,san-diego-state,team_stats
18,18th,85th,23rd,13th,24th,97th,pennsylvania,team_stats
19,193rd,25th,291st,190th,44th,173rd,pittsburgh,team_stats
20,307th,180th,294th,300th,160th,217th,oral-roberts,team_stats
21,207th,50th,279th,160th,64th,155th,pacific,team_stats
22,38th,176th,27th,40th,53rd,3rd,oklahoma,team_stats
23,283rd,100th,301st,152nd,52nd,260th,ohio-state,team_stats
24,307th,170th,298th,322nd,196th,310th,northwestern-state,team_stats
25,151st,33rd,267th,69th,7th,209th,northern-iowa,team_stats
26,262nd,57th,304th,223rd,172nd,117th,north-carolina,team_stats
27,51st,11th,195th,107th,20th,274th,north-carolina-wilmington,team_stats
28,238th,61st,293rd,241st,140th,291st,north-carolina-state,team_stats
29,255th,28th,313th,208th,54th,274th,nevada,team_stats
30,57th,22nd,165th,66th,32nd,207th,murray-state,team_stats
31,258th,181st,260th,273rd,233rd,128th,montana,team_stats
32,232nd,15th,314th,239th,46th,326th,monmouth,team_stats
33,211th,219th,199th,173rd,118th,146th,milwaukee,team_stats
34,314th,162nd,308th,315th,173rd,180th,michigan-state,team_stats
35,281st,2nd,329th,331st,93rd,330th,memphis,team_stats
36,324th,22nd,331st,309th,60th,308th,louisiana-state,team_stats
37,216th,47th,289th,234th,191st,266th,marquette,team_stats
38,316th,107th,318th,313th,108th,304th,kentucky,team_stats
39,220th,221st,207th,294th,103rd,195th,kent-state,team_stats
40,126th,1st,305th,137th,33rd,283rd,kansas,team_stats
41,178th,3rd,310th,121st,13th,310th,iowa,team_stats
42,273rd,149th,278th,292nd,256th,230th,iona,team_stats
43,209th,166th,224th,193rd,136th,165th,indiana,team_stats
44,78th,39th,172nd,84th,11th,112th,illinois,team_stats
45,81st,24th,198th,160th,64th,267th,hampton,team_stats
46,326th,145th,322nd,327th,269th,268th,gonzaga,team_stats
47,133rd,85th,203rd,91st,12th,64th,georgetown,team_stats
48,145th,95th,210th,139th,143rd,188th,george-washington,team_stats
49,231st,10th,319th,207th,21st,294th,george-mason,team_stats
50,333rd,21st,334th,335th,51st,327th,florida,team_stats
51,334th,129th,333rd,334th,161st,331st,duke,team_stats
52,228th,91st,272nd,227th,180th,172nd,davidson,team_stats
53,322nd,4th,332nd,307th,132nd,306th,connecticut,team_stats
54,146th,164th,162nd,119th,74th,69th,california,team_stats
55,9th,7th,81st,16th,3rd,47th,bucknell,team_stats
56,198th,36th,285th,233rd,86th,291st,bradley,team_stats
57,332nd,117th,326th,325th,109th,289th,boston-college,team_stats
58,315th,196th,300th,318th,313th,242nd,belmont,team_stats
59,216th,74th,275th,186th,81st,261st,arkansas,team_stats
60,302nd,256th,271st,306th,175th,293rd,arizona,team_stats
61,146th,111th,200th,177th,75th,148th,albany-ny,team_stats
62,258th,110th,280th,200th,144th,132nd,alabama,team_stats
63,121st,80th,189th,150th,98th,320th,alabama-birmingham,team_stats
64,22nd,133rd,16th,7th,1st,29th,air-force,team_stats
