,opp_ast,opp_blk,opp_fg,opp_fg2,opp_fg2_pct,opp_fg2a,opp_fg3,opp_fg3_pct,opp_fg3a,opp_fg_pct,opp_fga,opp_ft,opp_ft_pct,opp_fta,opp_pf,opp_pts,opp_pts_per_g,opp_stl,opp_trb,team_name,type
0,,,315th,,,,,,,60th,322nd,,,,,309th,44th,,318th,xavier,team_stats
1,,,77th,,,,,,,99th,122nd,,,,,28th,4th,,80th,wisconsin,team_stats
2,,,171st,,,,,,,153rd,181st,,,,,179th,99th,,120th,western-michigan,team_stats
3,,,324th,,,,,,,300th,290th,,,,,323rd,319th,,264th,washington,team_stats
4,,,175th,,,,,,,32nd,261st,,,,,131st,58th,,145th,virginia-commonwealth,team_stats
5,,,298th,,,,,,,235th,272nd,,,,,313th,299th,,201st,wake-forest,team_stats
6,,,218th,,,,,,,52nd,274th,,,,,240th,72nd,,281st,vanderbilt,team_stats
7,,,205th,,,,,,,134th,232nd,,,,,84th,33rd,,195th,vermont,team_stats
8,,,246th,,,,,,,92nd,272nd,,,,,272nd,219th,,263rd,valparaiso,team_stats
9,,,113th,,,,,,,61st,187th,,,,,62nd,5th,,26th,utah,team_stats
10,,,212th,,,,,,,15th,289th,,,,,269th,107th,,281st,texas,team_stats
11,,,306th,,,,,,,149th,311th,,,,,298th,112th,,313th,texas-tech,team_stats
12,,,308th,,,,,,,118th,316th,,,,,314th,240th,,312th,texas-san-antonio,team_stats
13,,,275th,,,,,,,71st,292nd,,,,,253rd,131st,,264th,texas-el-paso,team_stats
14,,,207th,,,,,,,22nd,282nd,,,,,213th,132nd,,289th,syracuse,team_stats
15,,,77th,,,,,,,4th,244th,,,,,87th,17th,,72nd,stanford,team_stats
16,,,61st,,,,,,,123rd,97th,,,,,60th,41st,,179th,southern-illinois,team_stats
17,,,178th,,,,,,,28th,264th,,,,,160th,84th,,218th,seton-hall,team_stats
18,,,234th,,,,,,,13th,305th,,,,,231st,35th,,320th,south-carolina,team_stats
19,,,175th,,,,,,,26th,263rd,,,,,136th,32nd,,295th,saint-josephs,team_stats
20,,,106th,,,,,,,111th,149th,,,,,48th,62nd,,68th,providence,team_stats
21,,,99th,,,,,,,16th,233rd,,,,,111th,8th,,297th,richmond,team_stats
22,,,259th,,,,,,,5th,319th,,,,,164th,2nd,,276th,pittsburgh,team_stats
23,,,3rd,,,,,,,41st,2nd,,,,,2nd,3rd,,2nd,princeton,team_stats
24,,,234th,,,,,,,23rd,293rd,,,,,214th,47th,,240th,pacific,team_stats
25,,,198th,,,,,,,83rd,253rd,,,,,149th,69th,,236th,northern-iowa,team_stats
26,,,289th,,,,,,,218th,268th,,,,,291st,285th,,220th,north-carolina,team_stats
27,,,284th,,,,,,,48th,310th,,,,,268th,34th,,234th,oklahoma-state,team_stats
28,,,297th,,,,,,,61st,315th,,,,,295th,104th,,280th,nevada,team_stats
29,,,171st,,,,,,,107th,213th,,,,,154th,75th,,156th,north-carolina-state,team_stats
30,,,317th,,,,,,,139th,318th,,,,,311th,162nd,,264th,murray-state,team_stats
31,,,286th,,,,,,,112th,288th,,,,,288th,125th,,314th,monmouth,team_stats
32,,,191st,,,,,,,54th,258th,,,,,139th,109th,,115th,mississippi-state,team_stats
33,,,72nd,,,,,,,33rd,160th,,,,,107th,79th,,179th,memphis,team_stats
34,,,273rd,,,,,,,33rd,307th,,,,,303rd,243rd,,316th,maryland,team_stats
35,,,106th,,,,,,,271st,65th,,,,,158th,128th,,13th,michigan-state,team_stats
36,,,93rd,,,,,,,77th,154th,,,,,129th,57th,,186th,manhattan,team_stats
37,,,36th,,,,,,,2nd,190th,,,,,43rd,22nd,,271st,louisville,team_stats
38,,,207th,,,,,,,175th,210th,,,,,142nd,166th,,182nd,louisiana-lafayette,team_stats
39,,,125th,,,,,,,44th,215th,,,,,121st,52nd,,224th,lehigh,team_stats
40,,,300th,,,,,,,143rd,302nd,,,,,287th,124th,,296th,liberty,team_stats
41,,,150th,,,,,,,24th,247th,,,,,169th,50th,,128th,kentucky,team_stats
42,,,196th,,,,,,,87th,248th,,,,,206th,40th,,222nd,illinois,team_stats
43,,,262nd,,,,,,,8th,313th,,,,,282nd,120th,,299th,kansas,team_stats
44,,,187th,,,,,,,3rd,300th,,,,,182nd,102nd,,92nd,gonzaga,team_stats
45,2nd,2nd,183rd,2nd,3rd,2nd,1st,2nd,1st,167th,183rd,1st,1st,2nd,2nd,151st,42nd,1st,166th,illinois-chicago,team_stats
