,ast_pct,blk_pct,efg_pct,fg3a_per_fga_pct,ft_rate,fta_per_fga_pct,g,losses,losses_conf,losses_home,losses_visitor,opp_pts,pts,school_name,sos,srs,tov_pct,trb_pct,ts_pct,win_loss_pct,wins,wins_conf,wins_home,wins_visitor
0,54.6,4.8,.517,.344,.237,.329,33,10,3,2,7,2147,2241,Albany (NY),-4.75,-1.60,17.7,52.2,.550,.697,23,13,11,11
1,60.4,5.3,.527,.285,.312,.416,31,11,7,5,4,2247,2417,Arizona,10.76,16.24,16.8,54.1,.570,.645,20,11,11,7
2,59.1,11.0,.517,.321,.269,.382,35,14,9,3,8,2311,2487,Arkansas,8.75,13.77,19.1,51.8,.551,.600,21,7,13,2
3,60.5,5.5,.540,.442,.221,.320,33,10,4,2,6,2128,2390,Belmont,-4.71,-0.39,20.0,51.9,.565,.697,23,14,9,10
4,57.4,9.6,.533,.319,.325,.449,33,12,6,4,6,2303,2453,Boston College,9.21,13.76,17.5,51.2,.573,.636,21,10,14,5
5,55.8,6.2,.555,.311,.229,.347,34,9,3,0,7,2347,2654,Brigham Young,3.95,11.38,16.5,54.5,.575,.735,25,13,17,6
6,56.0,3.8,.525,.486,.309,.406,36,7,3,2,4,2056,2434,Butler,3.94,14.34,13.8,48.8,.569,.806,29,13,14,8
7,53.7,6.1,.505,.378,.276,.378,34,12,2,4,5,2247,2344,Central Connecticut State,-6.48,-3.63,18.3,51.4,.545,.647,22,16,13,9
8,59.6,4.9,.507,.365,.322,.427,33,11,5,2,8,2011,2220,Creighton,6.24,12.57,17.3,51.5,.555,.667,22,13,12,5
9,57.7,4.6,.525,.412,.231,.307,34,5,1,1,3,2336,2765,Davidson,-2.26,8.31,16.7,54.4,.559,.853,29,17,13,10
10,52.7,8.7,.525,.296,.274,.398,33,11,8,4,4,2047,2323,Duke,10.49,18.85,19.6,53.7,.557,.667,22,8,15,5
11,61.0,4.9,.541,.448,.191,.281,33,12,7,3,8,2089,2151,Eastern Kentucky,-5.28,-4.19,18.9,46.7,.561,.636,21,13,11,8
12,56.4,3.1,.505,.309,.301,.455,35,14,6,2,9,2467,2467,Florida A&M,-7.49,-9.73,21.4,52.5,.539,.600,21,12,11,6
13,54.6,8.4,.596,.340,.302,.438,40,5,3,0,4,2504,3193,Florida,7.34,23.82,18.0,56.4,.618,.875,35,13,18,5
14,56.1,8.5,.506,.258,.238,.340,32,9,5,1,5,2067,2247,George Washington,0.64,5.61,17.5,50.6,.538,.719,23,11,13,6
15,59.0,9.8,.570,.348,.260,.365,37,7,3,3,3,2146,2555,Georgetown,9.48,19.62,18.8,54.3,.596,.811,30,13,14,9
16,52.5,6.7,.542,.283,.233,.342,32,12,8,1,8,2222,2515,Georgia Tech,9.36,17.17,18.5,54.3,.567,.625,20,8,17,1
