,school_name,g,wins,losses,win_loss_pct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,pace,def_rtg,opp_fta_per_fga_pct,opp_fg3a_per_fga_pct,opp_ts_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_efg_pct,opp_tov_pct,opp_orb_pct,opp_ft_rate,year
54,UCLA,35,26,9,.743,18.64,7.19,13,5,16,2,6,4,2642,2241,,,,.106,,47.4,,,,.498,,,,2009
55,Utah State,35,30,5,.857,9.33,0.07,14,2,17,0,11,3,2534,2169,,,,.109,,44.6,,,,.473,,,,2009
56,Utah,34,24,10,.706,12.59,5.72,12,4,13,2,6,7,2421,2195,,,,.098,,46.3,,,,.454,,,,2009
57,Villanova,38,30,8,.789,17.45,8.72,13,5,16,2,8,3,2919,2560,,,,.140,,46.5,,,,.473,,,,2009
58,Virginia Commonwealth,34,24,10,.706,7.70,-0.65,14,4,16,1,7,6,2440,2156,,,,.106,,50.5,,,,.450,,,,2009
59,Wake Forest,31,24,7,.774,15.63,7.36,11,5,14,1,7,4,2510,2193,,,,.107,,46.1,,,,.452,,,,2009
60,Washington,35,26,9,.743,16.78,8.19,14,4,18,1,6,4,2750,2431,,,,.094,,44.5,,,,.465,,,,2009
61,West Virginia,35,23,12,.657,18.57,8.34,10,8,11,3,7,5,2521,2163,,,,.090,,45.9,,,,.466,,,,2009
62,Western Kentucky,34,25,9,.735,3.68,-1.23,15,3,13,0,7,7,2454,2278,,,,.113,,46.6,,,,.493,,,,2009
63,Wisconsin,33,20,13,.606,12.43,8.43,10,8,13,3,4,7,2106,1948,,,,.099,,48.0,,,,.489,,,,2009
64,Xavier,35,27,8,.771,14.45,4.65,12,4,14,1,7,4,2508,2165,,,,.101,,44.1,,,,.437,,,,2009
