,school_name,g,wins,losses,win_loss_pct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,pace,def_rtg,opp_fta_per_fga_pct,opp_fg3a_per_fga_pct,opp_ts_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_efg_pct,opp_tov_pct,opp_orb_pct,opp_ft_rate,year
0,Alabama,36,20,16,.556,12.34,10.64,8,10,12,4,2,8,2604,2543,70.2,100.6,.365,.379,.514,49.7,48.7,9.4,10.5,.478,16.0,30.8,.250,2018
1,Arizona State,32,20,12,.625,14.37,6.56,8,10,13,4,4,6,2645,2395,72.2,102.8,.327,.399,.540,51.0,57.0,7.4,9.8,.507,17.6,30.6,.235,2018
2,Arizona,35,27,8,.771,15.67,6.84,14,4,15,1,8,3,2818,2509,68.7,102.9,.312,.356,.534,44.4,49.8,8.8,6.8,.499,14.7,25.1,.229,2018
3,Arkansas,35,23,12,.657,14.76,9.85,10,8,15,2,3,7,2819,2647,71.3,105.0,.408,.416,.547,51.1,54.7,6.6,8.7,.504,16.8,31.5,.297,2018
4,Auburn,34,26,8,.765,15.97,7.29,13,5,15,1,7,4,2783,2488,73.5,99.6,.381,.396,.537,48.3,52.4,8.3,9.3,.497,18.2,27.8,.275,2018
5,Bucknell,35,25,10,.714,4.48,-3.46,16,2,15,1,10,8,2837,2559,72.4,99.5,.345,.317,.514,49.2,49.2,9.0,9.3,.478,15.0,27.3,.240,2018
6,Buffalo,36,27,9,.750,7.99,0.25,15,3,14,1,8,5,3047,2742,73.9,102.0,.395,.334,.530,48.6,44.3,7.7,9.7,.484,16.1,28.8,.290,2018
7,Butler,35,21,14,.600,16.92,10.55,9,9,14,3,3,7,2763,2540,69.7,102.0,.353,.376,.557,48.7,50.2,7.2,8.9,.519,17.5,24.0,.262,2018
8,Cal State Fullerton,32,20,12,.625,-0.92,-1.02,10,6,9,4,7,7,2318,2245,70.0,99.4,.348,.341,.518,48.9,51.6,8.0,9.3,.472,16.0,27.4,.263,2018
9,Cincinnati,36,31,5,.861,20.25,3.53,16,2,15,1,9,2,2673,2071,66.2,86.9,.268,.378,.465,44.4,48.8,7.5,7.8,.433,18.8,27.8,.183,2018
10,Clemson,35,25,10,.714,17.17,9.25,11,7,15,1,4,6,2584,2307,67.6,96.9,.272,.374,.503,48.3,48.5,8.4,10.6,.472,15.2,26.0,.190,2018
11,College of Charleston,34,26,8,.765,1.83,-3.29,14,4,14,0,7,6,2536,2331,65.9,102.1,.316,.364,.531,50.4,49.8,6.1,9.3,.495,15.5,27.6,.233,2018
12,Creighton,33,21,12,.636,16.35,8.10,10,8,16,2,4,7,2756,2444,72.9,100.8,.245,.375,.523,49.0,50.7,8.3,8.8,.496,14.2,24.0,.176,2018
13,Davidson,33,21,12,.636,11.02,2.57,13,5,11,1,6,8,2519,2240,65.3,102.8,.296,.417,.538,49.2,52.0,7.2,8.6,.512,14.5,23.2,.203,2018
14,Duke,37,29,8,.784,24.44,9.71,13,5,15,1,6,5,3121,2576,70.7,97.8,.223,.368,.493,44.5,56.1,8.0,6.7,.464,14.8,29.6,.162,2018
15,Florida State,35,23,12,.657,15.79,8.50,9,9,13,2,4,7,2806,2551,72.2,99.5,.324,.377,.519,48.2,48.7,8.0,7.7,.484,16.7,29.2,.231,2018
16,Florida,34,21,13,.618,16.67,10.08,11,7,12,5,5,4,2577,2353,68.4,100.0,.323,.334,.524,51.5,47.4,6.4,8.5,.486,17.3,30.3,.236,2018
