,year,school_name,g,wins,losses,win_loss_pct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,pace,def_rtg,opp_fta_per_fga_pct,opp_fg3a_per_fga_pct,opp_ts_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_efg_pct,opp_tov_pct,opp_orb_pct,opp_ft_rate
347,2020,Texas,31,19,12,.613,10.47,9.60,9,9,11,6,6,5,1989,1962,66.2,95.6,.353,.282,.501,52.7,43.7,9.7,9.6,.469,17.9,31.9,.233
348,2020,Toledo,32,17,15,.531,1.20,-1.47,8,10,10,6,7,9,2386,2244,69.5,100.5,.262,.372,.511,48.7,44.7,9.3,9.4,.482,14.6,27.5,.184
349,2020,Towson,32,19,13,.594,0.09,-1.51,12,6,9,5,8,4,2258,2125,65.7,100.3,.304,.431,.517,46.0,53.3,7.2,7.2,.480,14.5,26.2,.225
350,2020,Troy,31,9,22,.290,-9.01,-1.32,5,15,6,9,3,13,2131,2276,70.7,103.0,.376,.398,.548,50.7,55.9,9.4,10.9,.514,17.9,29.5,.263
351,2020,Tulane,30,12,18,.400,0.94,3.54,4,14,7,7,3,7,2050,2128,69.4,101.4,.296,.433,.552,55.6,62.9,7.4,9.3,.527,20.1,31.1,.205
352,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,2020,Tulsa,31,21,10,.677,7.92,3.59,13,5,15,2,6,7,2103,1969,67.1,93.2,.283,.461,.500,49.9,53.5,10.6,9.9,.467,18.8,28.0,.202
355,2020,UCLA,31,19,12,.613,9.83,8.23,12,6,13,4,5,5,2153,2079,66.5,100.1,.352,.379,.538,45.8,47.5,8.6,8.1,.500,17.3,25.3,.256
356,2020,Utah State,34,26,8,.765,13.66,4.04,12,6,15,1,4,6,2600,2179,68.9,92.0,.259,.423,.488,43.4,48.7,9.6,8.8,.458,15.8,21.4,.181
357,2020,Utah Valley,30,11,19,.367,-7.47,-4.18,5,10,6,7,5,12,2105,2131,71.2,98.9,.335,.299,.515,50.4,47.8,8.6,10.5,.472,15.4,26.2,.249
358,2020,Utah,31,16,15,.516,8.47,7.86,7,11,12,2,1,10,2199,2180,67.7,102.3,.230,.353,.529,48.1,50.7,9.7,11.3,.503,15.5,26.9,.169
359,2020,Valparaiso,35,19,16,.543,1.44,1.17,9,9,11,2,4,10,2530,2494,69.5,101.1,.309,.347,.544,51.1,52.0,9.0,7.3,.517,17.8,27.1,.214
360,2020,Vanderbilt,32,11,21,.344,3.16,6.41,3,15,10,10,1,9,2295,2399,70.0,106.2,.368,.338,.564,52.7,50.7,8.0,13.0,.527,17.2,29.4,.272
361,2020,Vermont,33,26,7,.788,6.07,-4.84,14,2,13,3,12,3,2361,1963,66.5,89.5,.305,.413,.484,46.9,50.2,8.6,7.8,.445,17.2,23.0,.217
362,2020,Villanova,31,24,7,.774,16.84,10.03,13,5,12,3,9,3,2269,2058,67.6,97.8,.236,.318,.508,48.8,47.6,8.4,10.3,.482,14.9,24.4,.166
363,2020,Virginia Commonwealth,31,18,13,.581,9.66,4.08,8,10,14,4,4,7,2193,2020,69.2,93.8,.359,.348,.520,51.9,52.6,9.6,8.7,.481,21.3,30.1,.253
364,2020,VMI,33,9,24,.273,-6.92,-2.72,3,15,5,10,2,12,2380,2346,68.4,102.4,.380,.399,.536,50.1,54.2,8.2,9.5,.496,16.4,27.6,.273
365,2020,Virginia Tech,32,16,16,.500,8.22,6.16,7,13,12,6,3,7,2194,2128,66.1,98.2,.261,.425,.511,52.3,53.3,6.1,10.4,.485,15.5,25.5,.179
366,2020,Virginia,30,23,7,.767,12.16,7.50,15,5,14,3,7,4,1711,1571,60.2,85.8,.216,.426,.459,47.2,47.3,10.9,8.6,.431,17.0,23.3,.149
367,2020,Wagner,29,8,21,.276,-14.79,-5.57,5,13,5,8,3,13,1982,2210,69.1,108.9,.454,.415,.575,50.7,60.5,9.7,8.8,.539,16.6,29.2,.320
368,2020,Wake Forest,31,13,18,.419,6.69,8.14,6,14,9,5,1,11,2276,2321,70.8,104.1,.352,.353,.532,48.1,49.8,10.5,9.4,.497,13.4,26.0,.248
