,school_name,g,wins,losses,win_loss_pct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,pace,def_rtg,opp_fta_per_fga_pct,opp_fg3a_per_fga_pct,opp_ts_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_efg_pct,opp_tov_pct,opp_orb_pct,opp_ft_rate,year
0,Albany (NY),34,19,15,.559,-3.31,-5.22,9,7,10,3,7,11,2239,2174,63.0,100.3,.291,.366,.517,47.5,54.1,9.1,8.0,.483,15.9,28.3,.210,2014
1,American,33,20,13,.606,0.69,-3.25,13,5,11,3,9,9,2081,1951,60.7,97.0,.407,.312,.504,49.4,50.1,11.6,8.1,.464,17.0,29.7,.276,2014
2,Arizona State,33,21,12,.636,13.32,7.41,10,8,16,1,4,7,2486,2291,69.0,98.8,.373,.273,.496,51.6,47.1,7.9,11.6,.463,14.6,30.2,.242,2014
3,Arizona,38,33,5,.868,23.36,9.04,15,3,18,0,8,3,2769,2225,64.1,90.2,.342,.265,.469,44.9,44.7,7.2,7.6,.423,16.6,27.3,.245,2014
4,Baylor,38,26,12,.684,15.80,10.11,9,9,13,4,5,5,2843,2577,64.2,104.3,.316,.335,.514,45.2,61.1,8.2,7.8,.485,13.6,31.7,.213,2014
5,Brigham Young,35,23,12,.657,11.63,5.72,13,5,14,1,5,7,2931,2706,73.5,103.3,.372,.351,.529,46.7,55.1,8.1,8.7,.489,14.7,28.3,.265,2014
6,Cal Poly,34,14,20,.412,-1.34,1.69,6,10,6,6,3,12,2141,2163,60.8,104.5,.408,.318,.532,51.2,56.6,7.4,10.0,.488,15.9,32.2,.295,2014
7,Cincinnati,34,27,7,.794,15.26,5.28,15,3,18,1,7,3,2325,1986,63.6,91.9,.360,.326,.486,46.8,54.2,8.2,9.2,.448,19.2,32.3,.243,2014
8,Coastal Carolina,34,21,13,.618,-5.21,-6.31,11,5,14,5,6,7,2458,2326,68.6,98.6,.377,.425,.510,46.8,51.0,10.2,10.1,.471,16.2,29.2,.262,2014
9,Colorado,35,23,12,.657,10.80,8.80,10,8,16,2,5,6,2457,2387,67.0,100.7,.304,.355,.525,45.7,54.3,9.7,9.1,.494,15.7,26.1,.213,2014
