,school_name,g,wins,losses,win_loss_pct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,pace,def_rtg,opp_fta_per_fga_pct,opp_fg3a_per_fga_pct,opp_ts_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_efg_pct,opp_tov_pct,opp_orb_pct,opp_ft_rate,year
0,Alabama,33,21,12,.636,13.76,7.18,9,7,12,3,4,6,2135,1918,62.9,91.8,.382,.332,.474,50.1,51.5,8.7,9.4,.437,17.9,34.3,.247,2012
1,Baylor,38,30,8,.789,16.54,8.03,12,6,14,3,8,3,2839,2483,67.1,97.1,.334,.328,.507,48.0,56.1,10.3,8.5,.473,17.9,34.6,.229,2012
2,Belmont,35,27,8,.771,11.81,-1.22,16,2,13,1,10,6,2831,2363,68.7,97.6,.350,.308,.511,50.3,53.2,9.3,12.2,.481,18.0,34.9,.230,2012
3,Brigham Young,35,26,9,.743,11.25,1.55,12,4,13,3,8,3,2727,2358,73.0,92.3,.331,.362,.502,49.8,57.6,8.7,6.6,.471,19.1,29.2,.220,2012
4,University of California,34,24,10,.706,13.79,4.53,13,5,17,1,5,6,2419,2104,66.3,93.3,.267,.300,.493,48.6,49.1,7.5,5.8,.464,17.0,29.5,.183,2012
5,Cincinnati,37,26,11,.703,12.93,6.28,12,6,14,4,7,5,2522,2276,64.1,94.7,.263,.311,.490,51.9,54.8,8.3,8.4,.462,18.2,37.6,.180,2012
6,Colorado State,32,20,12,.625,6.58,5.23,8,6,14,1,3,9,2243,2177,64.5,104.3,.394,.382,.541,50.8,53.7,8.0,9.2,.503,16.0,31.5,.278,2012
7,Colorado,36,24,12,.667,7.91,5.73,11,7,14,2,4,7,2429,2269,66.0,95.2,.320,.350,.490,49.8,48.3,9.5,10.5,.461,16.1,30.3,.207,2012
8,Connecticut,34,20,14,.588,12.27,8.07,8,10,13,4,3,7,2336,2193,64.1,99.5,.253,.351,.481,50.7,52.0,10.0,6.7,.446,14.0,38.3,.186,2012
9,Creighton,35,29,6,.829,12.92,3.41,14,4,14,2,10,3,2772,2439,67.3,102.8,.293,.308,.522,47.9,51.1,9.4,8.7,.496,13.4,28.3,.198,2012
10,Davidson,33,25,8,.758,7.26,-1.68,16,2,13,2,8,5,2571,2238,68.8,97.9,.414,.272,.511,47.9,43.8,8.7,9.6,.473,15.7,29.5,.277,2012
11,Detroit Mercy,36,22,14,.611,2.40,-0.01,11,7,13,4,6,8,2597,2432,67.1,100.3,.375,.348,.539,50.8,56.1,8.6,6.6,.503,19.4,35.6,.263,2012
12,Duke,34,27,7,.794,17.05,8.40,13,3,13,3,8,1,2628,2334,68.3,99.7,.329,.241,.506,50.2,44.0,8.3,7.6,.471,15.8,34.6,.227,2012
13,Florida State,35,25,10,.714,14.53,7.62,12,4,15,2,5,5,2443,2201,67.3,92.1,.343,.364,.482,50.0,49.4,11.3,8.7,.437,18.9,35.8,.245,2012
14,Florida,37,26,11,.703,18.25,7.33,10,6,14,2,4,7,2808,2404,65.1,98.8,.299,.320,.509,50.8,51.5,7.8,9.4,.478,16.4,33.9,.207,2012
15,Georgetown,33,24,9,.727,16.81,7.69,12,6,15,1,6,5,2278,1959,63.3,92.4,.357,.332,.474,47.9,55.8,10.2,7.4,.433,17.0,32.7,.243,2012
16,Gonzaga,33,26,7,.788,13.86,3.25,13,3,15,1,6,4,2436,2086,66.4,94.8,.275,.341,.494,48.0,48.4,10.5,7.1,.466,16.9,31.1,.185,2012
