,school_name,g,wins,losses,win_loss_pct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,pace,def_rtg,opp_fta_per_fga_pct,opp_fg3a_per_fga_pct,opp_ts_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_efg_pct,opp_tov_pct,opp_orb_pct,opp_ft_rate,year
0,Arkansas-Pine Bluff,34,18,16,.529,-8.29,-7.68,14,4,8,1,5,14,2166,2187,67.4,94.0,.545,.307,.505,45.8,56.2,11.2,11.4,.455,17.9,27.1,.361,2010
1,Baylor,36,28,8,.778,17.97,8.03,11,5,15,1,6,4,2771,2362,67.2,97.0,.331,.351,.478,45.6,57.7,8.9,6.2,.440,15.0,32.8,.225,2010
2,Brigham Young,36,30,6,.833,18.82,3.00,13,3,15,1,10,4,2992,2392,71.0,92.9,.358,.323,.499,47.0,53.2,8.4,7.4,.462,19.1,27.8,.244,2010
3,Butler,38,33,5,.868,14.37,5.08,18,0,15,0,12,1,2611,2258,64.1,92.4,.346,.316,.501,47.9,50.6,8.2,10.4,.466,19.0,27.4,.235,2010
4,UC-Santa Barbara,30,20,10,.667,-0.13,-1.09,12,4,11,2,6,7,2028,1972,67.7,96.7,.402,.399,.514,51.6,57.5,10.5,8.6,.478,19.3,32.3,.268,2010
5,University of California,35,24,11,.686,17.29,8.26,13,5,15,1,6,6,2703,2387,67.9,100.1,.333,.310,.517,47.5,50.2,8.1,9.3,.483,16.2,31.1,.231,2010
6,Clemson,32,21,11,.656,15.71,7.90,9,7,14,2,5,6,2350,2065,70.1,92.1,.354,.285,.500,48.6,51.5,11.7,8.0,.464,21.1,33.5,.240,2010
7,Cornell,34,29,5,.853,8.76,-0.91,13,1,11,1,13,3,2596,2192,64.7,98.9,.370,.326,.525,47.6,52.5,9.8,8.5,.475,18.1,29.5,.263,2010
8,Duke,40,35,5,.875,25.21,9.21,13,3,17,0,5,5,3079,2441,66.5,91.7,.340,.254,.477,45.6,49.0,7.9,9.7,.437,18.2,32.1,.234,2010
9,East Tennessee State,35,20,15,.571,-0.83,-1.47,13,7,9,5,9,9,2424,2362,69.4,97.0,.394,.408,.519,49.5,57.8,10.6,9.3,.486,20.4,33.8,.261,2010
10,Florida State,32,22,10,.688,14.64,6.79,10,6,13,3,6,5,2183,1932,67.6,89.0,.348,.353,.473,46.3,47.3,11.7,6.6,.435,20.1,32.4,.234,2010
11,Florida,34,21,13,.618,11.89,7.16,9,7,13,4,5,5,2455,2258,66.5,98.8,.277,.329,.511,48.0,52.2,9.9,9.9,.484,17.4,32.8,.188,2010
12,Georgetown,34,23,11,.676,17.03,9.56,10,8,12,4,6,5,2500,2246,66.6,99.2,.334,.342,.513,48.2,56.7,10.9,10.4,.474,16.9,32.2,.240,2010
13,Georgia Tech,36,23,13,.639,14.11,9.02,7,9,14,2,3,8,2621,2365,70.4,93.0,.345,.358,.477,46.8,57.7,11.2,7.7,.441,18.1,33.3,.230,2010
14,Gonzaga,34,27,7,.794,12.11,3.83,12,2,14,1,6,3,2614,2291,69.4,96.1,.337,.327,.492,46.9,50.9,9.4,7.3,.462,16.0,28.9,.219,2010
15,Houston,35,19,16,.543,6.74,3.48,7,9,10,5,4,9,2751,2624,71.4,104.3,.395,.295,.548,55.5,50.6,6.3,8.1,.510,19.6,38.6,.282,2010
16,Kansas State,37,29,8,.784,19.88,10.28,11,5,13,3,7,2,2949,2584,71.2,96.8,.469,.302,.519,47.1,51.6,9.6,8.4,.470,20.0,33.9,.328,2010
17,Kansas,36,33,3,.917,24.68,8.25,15,1,18,0,9,2,2937,2312,69.4,91.9,.314,.323,.470,45.4,55.1,9.3,9.1,.432,16.9,31.7,.215,2010
18,Kentucky,38,35,3,.921,21.13,6.82,14,2,18,0,7,2,3012,2468,70.0,91.8,.297,.338,.467,44.6,47.8,9.7,7.8,.431,16.7,31.8,.204,2010
