,school_name,g,wins,losses,win_loss_pct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,pace,def_rtg,opp_fta_per_fga_pct,opp_fg3a_per_fga_pct,opp_ts_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_efg_pct,opp_tov_pct,opp_orb_pct,opp_ft_rate,year
0,Arizona,34,25,9,.735,18.79,7.23,12,6,17,1,5,5,2735,2342,69.8,96.6,.293,.313,.497,43.5,48.3,7.7,8.4,.462,14.1,24.7,.209,2016
1,Little Rock,35,30,5,.857,7.12,-1.76,17,3,14,0,12,4,2487,2129,64.6,93.2,.371,.395,.496,49.9,52.4,6.1,7.6,.456,18.5,28.6,.254,2016
2,Austin Peay,36,18,18,.500,-6.04,-2.98,7,9,7,7,7,9,2740,2765,70.5,107.4,.309,.389,.558,48.2,52.7,9.8,7.7,.531,16.2,29.5,.218,2016
3,Baylor,34,22,12,.647,16.13,9.76,10,8,15,5,6,5,2621,2366,67.6,101.9,.376,.346,.545,44.4,72.7,9.6,9.4,.510,17.6,28.2,.263,2016
4,Buffalo,35,20,15,.571,1.34,0.90,10,8,10,5,5,9,2709,2634,72.6,102.9,.377,.360,.532,48.3,50.6,7.7,8.9,.493,15.8,28.7,.270,2016
5,Butler,33,22,11,.667,16.46,7.55,10,8,13,3,5,5,2638,2344,69.8,101.3,.358,.363,.533,47.7,50.6,6.6,10.6,.497,16.4,27.3,.254,2016
6,Cal State Bakersfield,33,24,9,.727,2.58,-5.15,11,3,14,1,7,7,2405,2104,68.4,92.6,.423,.343,.497,47.2,48.7,7.8,7.6,.451,19.1,29.0,.291,2016
7,University of California,34,23,11,.676,15.39,7.87,12,6,18,0,4,7,2545,2289,68.2,97.6,.375,.265,.489,45.5,46.8,7.3,7.8,.443,12.3,25.3,.265,2016
8,Chattanooga,35,29,6,.829,3.24,-3.46,15,3,13,1,10,4,2652,2364,68.1,98.5,.297,.361,.527,47.7,51.0,9.4,10.7,.500,18.0,28.6,.202,2016
9,Cincinnati,33,22,11,.667,15.19,5.25,12,6,14,3,6,6,2418,2090,65.5,94.1,.270,.352,.486,46.8,50.7,7.6,8.7,.456,17.2,30.5,.184,2016
10,Colorado,34,22,12,.647,12.04,7.64,10,8,16,1,4,7,2576,2407,70.8,99.3,.351,.292,.506,44.3,41.9,10.5,11.1,.470,13.5,24.6,.241,2016
11,Connecticut,36,25,11,.694,15.89,6.28,11,7,14,3,6,4,2631,2285,66.2,94.6,.354,.362,.481,48.9,52.1,7.6,9.4,.445,15.4,28.9,.234,2016
12,Dayton,33,25,8,.758,11.34,4.76,14,4,14,3,8,2,2393,2176,68.6,95.0,.328,.368,.500,46.8,54.8,7.0,8.0,.469,15.9,24.2,.219,2016
13,Duke,36,25,11,.694,19.23,10.59,11,7,15,3,5,4,2920,2609,68.4,105.2,.253,.296,.519,50.5,52.4,6.6,9.8,.495,14.5,34.4,.172,2016
14,Fairleigh Dickinson,33,18,15,.545,-10.90,-8.31,11,7,9,6,9,8,2558,2600,72.4,107.5,.467,.367,.560,53.7,56.1,8.6,8.6,.522,18.0,35.4,.325,2016
15,Florida Gulf Coast,35,21,14,.600,-0.79,-3.82,8,6,16,4,4,8,2703,2473,69.7,98.9,.335,.359,.501,46.5,47.3,9.4,7.0,.467,14.6,27.7,.229,2016
16,Fresno State,35,25,10,.714,5.27,2.24,13,5,16,2,6,7,2630,2475,70.1,99.5,.445,.395,.530,49.6,53.0,6.5,7.3,.486,18.5,29.4,.311,2016
17,Gonzaga,36,28,8,.778,16.92,4.23,15,3,11,4,9,2,2840,2360,68.1,95.9,.281,.331,.480,44.8,43.1,8.5,8.0,.446,13.1,25.6,.198,2016
18,Green Bay,36,23,13,.639,1.16,-0.67,11,7,11,3,8,9,3013,2880,77.3,102.4,.358,.339,.546,51.3,50.5,7.6,10.0,.511,18.8,31.8,.255,2016
19,Hampton,32,21,11,.656,-8.74,-8.45,13,3,9,2,8,7,2363,2370,71.7,101.3,.360,.331,.523,46.9,42.0,7.8,10.3,.483,14.8,27.0,.260,2016
20,Hawaii,34,28,6,.824,9.03,-1.04,13,3,16,3,7,2,2620,2267,71.6,92.8,.392,.350,.500,47.0,47.9,8.1,7.5,.453,18.0,26.1,.281,2016
21,Holy Cross,35,15,20,.429,-11.20,-6.11,5,13,8,6,5,13,2267,2445,64.6,106.2,.334,.408,.563,54.4,58.2,8.1,9.7,.532,17.2,29.5,.242,2016
22,Indiana,35,27,8,.771,19.59,6.90,15,3,17,0,6,4,2891,2447,69.1,100.9,.302,.312,.525,45.1,46.7,8.9,8.8,.498,16.4,28.9,.206,2016
23,Iona,33,22,11,.667,3.59,-1.78,16,4,11,2,8,6,2628,2451,72.5,102.1,.363,.360,.524,50.3,53.4,8.0,8.6,.488,16.4,31.0,.254,2016
24,Iowa State,35,23,12,.657,16.93,10.16,10,8,14,2,4,7,2862,2625,71.5,103.8,.249,.356,.522,50.3,50.6,7.7,7.1,.498,14.5,29.9,.171,2016
25,Iowa,33,22,11,.667,17.01,8.71,12,6,13,2,6,5,2561,2287,69.1,99.6,.250,.382,.506,49.4,53.4,7.7,7.6,.480,16.0,31.1,.171,2016
26,Kansas,38,33,5,.868,23.87,11.22,15,3,16,0,7,3,3089,2570,69.7,95.7,.371,.330,.497,46.1,47.3,9.2,8.5,.450,15.9,27.4,.269,2016
27,Kentucky,36,27,9,.750,20.23,8.84,13,5,17,0,4,7,2861,2451,68.2,98.8,.407,.296,.493,46.4,40.4,6.2,7.5,.445,15.0,31.4,.286,2016
28,Maryland,36,27,9,.750,16.71,8.31,12,6,16,1,4,6,2725,2400,67.3,98.7,.270,.350,.496,48.1,46.8,9.0,8.1,.463,14.4,29.1,.192,2016
29,Miami (FL),35,27,8,.771,18.52,10.69,13,5,15,1,6,5,2633,2359,66.2,101.5,.291,.304,.516,48.3,46.0,8.0,6.9,.483,15.0,28.9,.209,2016
30,Michigan State,35,29,6,.829,22.59,6.94,13,5,14,2,7,3,2793,2245,67.0,95.1,.341,.325,.477,42.0,48.7,7.9,8.6,.433,12.4,24.0,.243,2016
31,Michigan,36,23,13,.639,13.75,7.92,10,8,13,4,4,6,2656,2426,65.7,102.2,.268,.363,.539,50.8,52.7,6.1,9.9,.511,16.1,26.3,.194,2016
32,Middle Tennessee,35,25,10,.714,2.66,-0.70,13,5,11,3,8,6,2539,2410,69.1,99.3,.417,.349,.529,48.6,50.8,8.5,7.7,.494,17.1,25.4,.279,2016
33,North Carolina-Asheville,34,22,12,.647,1.10,-3.25,12,6,11,3,6,7,2552,2313,70.4,95.9,.321,.361,.514,48.5,44.9,9.5,6.1,.480,19.0,28.9,.224,2016
34,North Carolina-Wilmington,33,25,8,.758,6.25,0.35,14,4,12,2,8,5,2620,2379,71.3,99.9,.542,.290,.525,49.4,45.4,6.8,7.9,.469,17.9,30.8,.382,2016
35,North Carolina,40,33,7,.825,23.44,10.69,14,4,15,1,6,5,3311,2801,70.2,99.8,.304,.357,.513,44.1,43.7,8.0,6.5,.481,15.7,29.5,.212,2016
36,Northern Iowa,36,23,13,.639,8.78,4.44,11,7,11,3,6,8,2475,2303,64.1,98.8,.240,.395,.514,53.2,51.1,7.4,8.9,.486,15.8,26.7,.173,2016
37,Notre Dame,36,24,12,.667,14.10,9.57,11,7,14,2,5,5,2704,2541,65.0,108.3,.260,.344,.525,48.9,53.0,8.3,8.2,.495,12.5,31.7,.189,2016
38,Oklahoma,37,29,8,.784,19.76,11.14,12,6,14,1,7,5,2948,2629,71.0,99.0,.283,.357,.501,48.6,43.1,10.1,8.9,.472,15.1,30.0,.192,2016
39,Oregon State,32,19,13,.594,10.39,9.26,9,9,12,3,4,7,2301,2244,68.4,102.5,.391,.389,.529,51.7,58.1,7.3,9.6,.492,16.9,32.2,.272,2016
40,Oregon,38,31,7,.816,18.05,8.64,14,4,18,0,5,5,2990,2614,69.5,98.6,.314,.343,.517,47.6,52.2,6.6,7.7,.485,17.4,30.3,.218,2016
41,Pittsburgh,33,21,12,.636,15.47,8.75,9,9,15,4,3,6,2476,2220,66.4,100.6,.330,.342,.520,44.8,54.8,8.4,8.3,.493,15.1,27.0,.218,2016
42,Providence,35,24,11,.686,11.94,8.46,10,8,13,4,7,4,2577,2455,69.8,99.4,.280,.331,.524,50.6,50.6,8.4,8.8,.493,17.8,30.1,.201,2016
43,Purdue,35,26,9,.743,20.17,7.46,12,6,17,1,5,5,2726,2281,67.9,95.0,.281,.331,.478,42.7,50.5,9.0,7.7,.443,12.0,23.2,.197,2016
44,Saint Joseph's,36,28,8,.778,12.10,4.93,13,5,12,4,10,2,2780,2522,70.2,99.4,.250,.415,.508,48.1,49.1,6.3,7.4,.481,14.2,25.6,.175,2016
45,Seton Hall,34,25,9,.735,14.66,8.28,12,6,13,3,7,4,2522,2305,70.7,95.5,.338,.330,.490,47.6,50.9,10.1,9.8,.454,16.6,30.8,.229,2016
46,South Dakota State,34,26,8,.765,5.44,-1.22,12,4,13,0,8,7,2591,2316,68.8,99.0,.390,.329,.518,46.3,47.7,8.2,9.8,.473,15.5,25.7,.281,2016
47,Southern California,34,21,13,.618,13.52,7.64,9,9,16,2,3,7,2737,2537,72.5,101.4,.283,.345,.505,48.9,50.8,7.8,9.3,.473,14.1,31.5,.199,2016
48,Southern,35,22,13,.629,-7.68,-9.37,11,7,12,1,6,10,2534,2406,69.5,98.9,.382,.367,.509,51.0,49.4,7.5,7.3,.474,16.9,31.6,.254,2016
49,Stephen F. Austin,34,28,6,.824,9.23,-5.47,18,0,14,0,9,4,2728,2153,69.6,91.0,.390,.312,.521,48.1,52.1,7.6,7.4,.488,23.4,30.0,.258,2016
