,school_name,g,wins,losses,win_loss_pct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,pace,def_rtg,opp_fta_per_fga_pct,opp_fg3a_per_fga_pct,opp_ts_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_efg_pct,opp_tov_pct,opp_orb_pct,opp_ft_rate,year
50,Stony Brook,33,26,7,.788,3.75,-5.28,14,2,15,1,11,5,2515,2115,67.8,94.2,.268,.344,.497,44.6,47.4,8.3,6.9,.464,16.4,25.3,.192,2016
51,Syracuse,37,23,14,.622,14.62,9.75,9,9,13,4,3,7,2589,2409,64.9,99.3,.280,.397,.500,50.7,65.0,9.6,9.2,.473,16.9,35.0,.186,2016
52,Temple,33,21,12,.636,7.69,6.57,14,4,11,3,8,4,2267,2230,65.8,100.8,.287,.322,.503,50.7,50.4,6.5,9.5,.465,13.8,29.5,.213,2016
53,Texas A&M,37,28,9,.757,18.45,8.45,13,5,17,1,5,5,2828,2458,68.8,95.2,.324,.401,.503,47.0,57.1,7.7,9.5,.474,17.9,28.3,.213,2016
54,Texas Tech,32,19,13,.594,12.41,10.25,9,9,14,3,3,7,2305,2236,66.7,103.5,.329,.378,.529,49.9,46.2,9.6,8.5,.496,15.9,32.1,.232,2016
55,Texas,33,20,13,.606,14.80,11.71,11,7,14,3,5,5,2355,2253,66.8,101.5,.383,.329,.517,50.9,47.1,6.6,8.9,.477,15.8,31.8,.268,2016
56,Tulsa,32,20,12,.625,9.79,5.76,12,6,12,3,6,5,2356,2227,68.8,100.3,.346,.369,.526,51.3,50.9,7.6,9.1,.482,17.5,30.3,.259,2016
57,Utah,36,27,9,.750,15.50,8.79,13,5,16,1,5,5,2778,2502,67.7,101.3,.227,.326,.507,46.8,42.3,9.6,10.3,.480,13.3,27.3,.165,2016
58,Vanderbilt,33,19,14,.576,17.20,8.68,11,7,14,2,3,9,2506,2225,69.2,96.7,.344,.306,.470,49.2,43.8,8.0,8.7,.431,12.0,29.2,.233,2016
59,Villanova,40,35,5,.875,24.08,9.71,16,2,15,1,10,2,3118,2543,67.3,94.2,.300,.374,.495,48.8,56.3,8.6,6.8,.467,17.7,28.8,.198,2016
60,Virginia Commonwealth,36,25,11,.694,13.83,4.35,14,4,15,2,7,4,2781,2440,69.9,96.3,.368,.303,.525,48.0,52.4,8.1,9.6,.491,18.7,27.3,.249,2016
61,Virginia,37,29,8,.784,22.04,11.12,13,5,15,0,5,6,2626,2222,61.5,97.3,.334,.366,.519,46.8,47.6,8.7,5.9,.484,16.7,24.9,.234,2016
62,Weber State,35,26,9,.743,0.18,-5.13,15,3,13,1,6,7,2662,2344,68.6,96.3,.270,.273,.492,47.4,40.7,8.3,5.2,.464,13.8,25.2,.181,2016
63,West Virginia,35,26,9,.743,21.61,9.78,13,5,13,2,7,4,2749,2335,70.7,93.7,.553,.363,.540,43.9,51.1,9.8,8.8,.484,22.4,27.1,.395,2016
64,Wichita State,35,26,9,.743,17.39,4.24,16,2,14,1,9,3,2535,2066,66.1,88.7,.451,.367,.499,46.9,47.8,7.0,8.5,.446,20.7,23.5,.320,2016
65,Wisconsin,35,22,13,.629,13.40,9.40,12,6,13,5,6,5,2373,2233,64.1,98.9,.337,.289,.517,47.7,46.5,8.4,9.2,.480,16.3,27.4,.238,2016
66,Xavier,34,28,6,.824,18.58,8.43,14,4,15,1,8,3,2737,2392,72.4,97.2,.336,.405,.513,45.1,54.7,8.4,8.8,.478,16.9,26.0,.234,2016
67,Yale,30,23,7,.767,9.08,-1.03,13,1,12,0,9,6,2248,1914,66.9,94.9,.325,.341,.501,42.2,50.0,10.0,9.1,.465,16.0,24.2,.227,2016
