,school_name,g,wins,losses,win_loss_pct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,pace,def_rtg,opp_fta_per_fga_pct,opp_fg3a_per_fga_pct,opp_ts_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_efg_pct,opp_tov_pct,opp_orb_pct,opp_ft_rate,year
0,Arizona,37,32,5,.865,18.25,7.63,16,2,15,1,9,1,2833,2440,67.3,98.0,.286,.364,.506,44.9,53.4,7.0,7.7,.477,15.2,25.7,.196,2017
1,Arkansas,36,26,10,.722,14.04,8.60,12,6,15,3,6,5,2855,2659,71.7,103.1,.390,.367,.519,50.5,50.4,7.2,7.7,.478,15.7,33.9,.275,2017
2,Baylor,35,27,8,.771,19.75,11.87,12,6,15,2,6,4,2550,2228,65.3,97.5,.299,.351,.498,43.5,58.2,8.3,9.6,.462,15.1,28.6,.213,2017
3,Bucknell,35,26,9,.743,5.89,-2.48,15,3,14,2,9,6,2669,2376,70.7,96.1,.331,.313,.509,49.4,49.3,9.9,8.7,.480,17.3,27.8,.218,2017
4,Butler,34,25,9,.735,17.70,10.23,12,6,13,3,7,4,2595,2341,67.3,101.6,.370,.377,.542,49.4,44.7,7.4,7.3,.508,17.3,26.7,.258,2017
5,UC-Davis,36,23,13,.639,-5.21,-4.68,11,5,11,0,6,9,2525,2506,70.2,98.1,.319,.368,.522,49.2,53.9,9.7,8.9,.487,17.3,27.5,.228,2017
6,Cincinnati,36,30,6,.833,18.43,5.49,16,2,18,0,8,3,2674,2208,65.1,93.6,.291,.370,.491,46.7,52.8,5.5,8.4,.452,17.4,29.2,.214,2017
7,Creighton,35,25,10,.714,17.27,8.95,10,8,13,4,7,4,2864,2549,72.9,100.0,.288,.368,.525,50.7,48.1,9.2,7.5,.498,16.8,28.9,.199,2017
8,Dayton,32,24,8,.750,12.98,4.27,15,3,15,1,7,3,2428,2126,69.4,95.3,.349,.394,.515,50.3,55.3,6.2,10.6,.477,18.8,27.6,.247,2017
9,Duke,37,28,9,.757,21.56,10.91,11,7,15,1,4,6,2991,2597,69.9,100.5,.312,.288,.510,48.1,46.6,6.8,6.7,.475,14.9,29.6,.222,2017
