,school_name,g,wins,losses,win_loss_pct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,pace,def_rtg,opp_fta_per_fga_pct,opp_fg3a_per_fga_pct,opp_ts_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_efg_pct,opp_tov_pct,opp_orb_pct,opp_ft_rate,year
0,Air Force,31,24,7,.774,10.20,2.49,12,4,16,0,6,5,1990,1695,,,,,,54.3,,,,.431,,,,2006
1,Alabama-Birmingham,31,24,7,.774,9.64,1.57,12,2,14,1,7,5,2306,2035,,,,,,55.8,,,,.418,,,,2006
2,Alabama,31,18,13,.581,10.79,8.08,10,6,14,4,3,7,2178,2094,,,,,,46.8,,,,.425,,,,2006
3,Albany (NY),32,21,11,.656,-0.44,-4.25,13,3,10,3,8,7,2194,2065,,,,,,48.3,,,,.426,,,,2006
4,Arizona,33,20,13,.606,15.12,10.09,11,7,12,2,4,7,2433,2267,,,,,,50.2,,,,.453,,,,2006
5,Arkansas,32,22,10,.688,15.01,6.17,10,6,15,1,3,5,2359,2076,,,,,,49.8,,,,.416,,,,2006
6,Belmont,31,20,11,.645,-3.53,-6.72,15,5,10,2,7,8,2499,2356,,,,,,49.7,,,,.441,,,,2006
7,Boston College,36,28,8,.778,13.79,6.10,11,5,14,2,9,3,2671,2383,,,,,,47.2,,,,.427,,,,2006
8,Bradley,33,22,11,.667,11.78,5.38,11,7,13,1,5,8,2359,2148,,,,,,48.0,,,,.404,,,,2006
9,Bucknell,32,27,5,.844,7.29,-2.29,14,0,14,1,11,3,2114,1785,,,,,,47.6,,,,.385,,,,2006
10,University of California,31,20,11,.645,12.31,8.84,12,6,12,3,7,4,2128,2000,,,,,,48.8,,,,.435,,,,2006
11,Connecticut,34,30,4,.882,21.22,6.57,14,2,16,0,8,2,2781,2283,,,,,,43.9,,,,.383,,,,2006
12,Davidson,31,20,11,.645,1.89,-3.04,10,5,14,1,3,9,2403,2137,,,,,,45.9,,,,.421,,,,2006
13,Duke,36,32,4,.889,21.77,8.77,14,2,14,1,8,2,2921,2453,,,,,,51.9,,,,.429,,,,2006
14,Florida,39,33,6,.846,20.21,5.49,10,6,16,2,6,4,3052,2478,,,,,,47.3,,,,.399,,,,2006
15,George Mason,35,27,8,.771,12.11,2.77,15,3,12,1,8,5,2429,2102,,,,,,48.5,,,,.388,,,,2006
16,George Washington,30,27,3,.900,9.63,-0.33,16,0,15,0,10,1,2360,2026,,,,,,47.6,,,,.422,,,,2006
17,Georgetown,33,23,10,.697,13.98,6.92,10,6,11,2,7,6,2177,1944,,,,,,46.9,,,,.420,,,,2006
18,Gonzaga,33,29,4,.879,12.32,5.02,14,0,17,0,8,2,2643,2402,,,,,,47.5,,,,.432,,,,2006
19,Hampton,32,16,16,.500,-10.17,-12.56,10,8,7,7,5,8,2120,2047,,,,,,47.0,,,,.400,,,,2006
20,Illinois,33,26,7,.788,17.20,6.29,11,5,15,1,5,4,2311,1937,,,,,,45.5,,,,.405,,,,2006
21,Indiana,31,19,12,.613,12.10,7.36,9,7,10,3,5,7,2231,2084,,,,,,49.2,,,,.436,,,,2006
22,Iona,31,23,8,.742,6.86,-0.78,13,5,7,4,11,2,2475,2238,,,,,,48.3,,,,.433,,,,2006
23,Iowa,34,25,9,.735,14.18,6.80,11,5,17,0,4,7,2254,2003,,,,,,47.6,,,,.380,,,,2006
24,Kansas,33,25,8,.758,20.02,7.60,13,3,14,2,6,2,2480,2024,,,,,,46.4,,,,.370,,,,2006
25,Kent State,34,25,9,.735,6.27,0.00,15,3,12,2,8,5,2458,2239,,,,,,48.0,,,,.445,,,,2006
26,Kentucky,35,22,13,.629,13.12,8.88,9,7,10,5,5,4,2477,2316,,,,,,47.9,,,,.425,,,,2006
27,Louisiana State,36,27,9,.750,17.54,8.77,14,2,14,2,7,4,2633,2299,,,,,,44.6,,,,.399,,,,2006
28,Marquette,31,20,11,.645,11.33,8.16,10,6,14,2,3,7,2325,2150,,,,,,50.1,,,,.407,,,,2006
29,Memphis,37,33,4,.892,18.81,4.24,13,1,19,1,10,1,2961,2422,,,,,,45.6,,,,.380,,,,2006
30,Michigan State,34,22,12,.647,12.24,7.27,8,8,12,2,4,7,2520,2334,,,,,,46.1,,,,.435,,,,2006
31,Milwaukee,31,22,9,.710,7.65,1.47,12,4,13,2,8,6,2294,2061,,,,,,45.9,,,,.445,,,,2006
32,Monmouth,34,19,15,.559,-2.99,-4.05,12,6,8,4,9,8,2191,2155,,,,,,53.0,,,,.393,,,,2006
