,school_name,g,wins,losses,win_loss_pct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,pace,def_rtg,opp_fta_per_fga_pct,opp_fg3a_per_fga_pct,opp_ts_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_efg_pct,opp_tov_pct,opp_orb_pct,opp_ft_rate,year
0,Akron,33,26,7,.788,8.11,0.18,14,2,15,1,7,4,2369,2071,66.4,93.1,.344,.297,.486,48.1,49.5,10.3,8.1,.443,17.4,33.2,.245,2013
1,Albany (NY),35,24,11,.686,-0.87,-4.53,9,7,11,4,11,5,2251,2123,62.8,96.3,.278,.346,.507,51.1,46.6,9.6,10.1,.483,17.3,32.4,.182,2013
2,Arizona,35,27,8,.771,17.30,7.47,12,6,14,2,7,4,2570,2226,66.8,94.9,.329,.309,.504,47.3,49.2,9.2,9.3,.466,17.4,29.2,.234,2013
3,Belmont,33,26,7,.788,10.37,-0.96,14,2,13,0,9,4,2533,2129,68.1,94.4,.372,.372,.517,53.2,54.6,9.4,11.8,.477,21.8,36.8,.264,2013
4,Boise State,32,21,11,.656,9.44,5.27,9,7,14,1,5,8,2343,2095,66.3,98.3,.407,.384,.541,48.9,56.6,8.7,8.1,.502,18.2,26.5,.287,2013
5,Bucknell,34,28,6,.824,6.95,-1.96,12,2,14,1,12,4,2277,1966,62.6,92.3,.291,.309,.463,47.7,48.9,7.2,5.8,.425,12.6,26.5,.205,2013
6,Butler,36,27,9,.750,10.99,6.08,11,5,14,2,7,4,2495,2299,64.9,98.1,.355,.310,.508,46.6,49.2,10.0,9.1,.468,15.2,28.9,.250,2013
7,University of California,33,21,12,.636,10.65,7.77,12,6,11,5,6,5,2218,2123,66.5,96.4,.325,.293,.480,50.0,51.1,8.9,7.2,.443,14.3,33.2,.223,2013
8,Cincinnati,34,22,12,.647,14.46,6.93,9,9,13,5,4,5,2262,2006,64.9,89.9,.327,.304,.469,48.3,53.8,8.8,8.8,.433,17.4,33.4,.218,2013
9,Colorado State,35,26,9,.743,13.65,5.89,11,5,16,1,6,6,2553,2229,64.6,98.3,.364,.371,.513,43.1,43.8,8.0,8.0,.477,14.9,25.9,.249,2013
10,Colorado,33,21,12,.636,11.95,7.95,10,8,12,3,5,7,2230,2098,65.7,95.4,.253,.365,.488,49.8,46.8,10.1,10.1,.459,16.5,33.1,.175,2013
11,Creighton,36,28,8,.778,16.44,5.16,13,5,15,2,7,5,2680,2274,65.0,97.2,.261,.332,.488,48.4,51.1,10.2,7.8,.459,13.9,29.2,.178,2013
12,Davidson,34,26,8,.765,7.27,-3.45,17,1,12,1,9,4,2490,2110,64.8,95.5,.368,.264,.497,50.7,41.0,8.5,8.8,.452,16.3,30.7,.264,2013
13,Duke,36,30,6,.833,21.43,9.54,14,4,16,0,5,4,2778,2350,68.2,95.7,.327,.269,.496,52.7,40.0,7.3,8.1,.455,17.5,34.7,.237,2013
14,Florida Gulf Coast,37,26,11,.703,2.76,-2.07,13,5,15,1,6,9,2696,2469,69.5,95.0,.332,.379,.500,51.7,55.8,10.3,8.3,.465,19.0,35.4,.228,2013
15,Florida,37,29,8,.784,23.86,6.83,14,4,15,0,7,5,2642,2012,62.9,86.4,.299,.328,.464,48.6,50.9,9.3,7.9,.433,19.4,31.0,.195,2013
16,Georgetown,32,25,7,.781,15.84,7.59,14,4,16,1,6,3,2070,1806,62.4,89.0,.353,.340,.469,51.6,56.7,10.0,9.6,.430,19.1,34.1,.235,2013
17,Gonzaga,35,32,3,.914,20.47,4.18,16,0,15,1,10,1,2696,2095,65.3,91.7,.294,.387,.482,46.7,47.6,9.5,8.5,.449,18.1,32.2,.200,2013
18,Harvard,30,20,10,.667,3.95,0.16,11,3,13,1,6,8,2049,1924,63.8,99.2,.310,.283,.524,53.7,48.8,9.7,9.9,.488,18.2,34.4,.225,2013
19,Illinois,36,23,13,.639,13.23,10.08,8,10,12,4,6,6,2465,2332,65.5,98.6,.358,.355,.521,53.4,53.3,8.4,9.1,.485,18.6,36.9,.251,2013
20,Indiana,36,29,7,.806,24.90,8.38,14,4,17,2,7,2,2831,2236,67.1,91.9,.270,.327,.474,46.7,43.3,9.4,11.2,.440,17.8,34.0,.191,2013
21,Iona,34,20,14,.588,4.04,-0.02,11,7,11,1,5,9,2733,2595,70.5,105.5,.321,.349,.540,52.9,56.1,7.6,11.0,.516,16.5,37.4,.215,2013
22,Iowa State,35,23,12,.657,14.50,6.13,11,7,16,1,4,7,2779,2486,70.0,100.0,.327,.333,.518,48.8,53.8,9.3,8.5,.480,16.2,31.0,.237,2013
23,James Madison,36,21,15,.583,-1.73,-2.28,11,7,10,4,4,9,2346,2326,64.1,100.0,.392,.341,.526,53.8,57.0,8.2,8.5,.487,18.1,34.5,.273,2013
24,Kansas State,35,27,8,.771,13.53,6.53,14,4,15,1,7,3,2414,2115,63.6,95.0,.360,.300,.504,49.4,51.7,8.7,8.9,.466,19.0,35.7,.248,2013
25,Kansas,37,31,6,.838,20.79,7.54,14,4,16,1,7,3,2782,2292,67.8,89.9,.320,.356,.456,47.4,50.6,10.4,7.4,.415,15.7,31.3,.220,2013
26,La Salle,34,24,10,.706,10.14,4.46,11,5,13,2,8,6,2450,2257,66.5,99.1,.285,.246,.520,55.4,50.0,8.7,10.7,.493,18.3,37.7,.194,2013
27,Liberty,36,15,21,.417,-9.13,-5.80,6,10,8,7,4,11,2489,2519,66.6,104.0,.385,.334,.511,52.8,51.3,9.9,10.1,.473,13.5,35.3,.263,2013
28,Long Island University,34,20,14,.588,-3.21,-5.80,12,6,12,2,7,9,2677,2589,70.0,108.0,.316,.309,.550,51.4,54.2,9.8,10.0,.526,15.8,37.2,.214,2013
29,Louisville,40,35,5,.875,24.81,9.13,14,4,15,1,8,3,2978,2351,66.4,87.1,.349,.333,.483,48.9,49.7,8.3,8.1,.448,23.1,35.4,.230,2013
30,Marquette,35,26,9,.743,14.04,8.58,14,4,16,0,5,6,2382,2191,63.4,97.4,.317,.359,.495,49.2,59.5,10.2,9.8,.462,16.6,36.8,.216,2013
31,Memphis,36,31,5,.861,12.26,2.70,16,0,17,1,9,1,2681,2337,69.5,92.7,.349,.304,.492,49.2,50.1,10.6,8.1,.455,19.0,33.9,.236,2013
32,Miami (FL),36,29,7,.806,16.99,7.88,15,3,14,1,10,3,2509,2181,64.0,94.3,.283,.349,.484,49.9,48.9,8.3,8.3,.457,15.9,30.7,.184,2013
33,Michigan State,36,27,9,.750,18.64,10.55,13,5,17,1,6,5,2448,2129,64.7,91.4,.320,.342,.476,46.7,51.5,11.5,8.8,.441,16.6,30.1,.213,2013
34,Michigan,39,31,8,.795,21.28,10.05,12,6,17,1,5,5,2932,2467,64.1,97.7,.226,.335,.501,50.1,52.5,8.3,8.3,.478,16.0,32.3,.154,2013
35,Middle Tennessee,34,28,6,.824,11.16,-1.52,19,1,15,0,11,3,2405,1974,65.6,87.9,.428,.317,.481,47.7,46.3,9.8,7.0,.444,20.5,31.5,.271,2013
36,Minnesota,34,21,13,.618,16.83,10.31,8,10,15,2,3,8,2337,2115,63.5,97.6,.367,.347,.497,46.9,56.3,12.0,9.1,.456,17.1,36.9,.255,2013
37,Mississippi,36,27,9,.750,14.42,4.14,12,6,16,1,6,6,2779,2409,70.5,94.0,.311,.363,.495,51.9,54.6,8.1,7.8,.464,18.5,35.5,.206,2013
38,Missouri,34,23,11,.676,15.41,6.00,11,7,17,0,2,8,2588,2268,68.2,97.0,.297,.349,.493,46.3,46.3,9.3,8.2,.461,15.1,31.5,.203,2013
39,Montana,32,25,7,.781,-1.11,-4.21,19,1,15,1,10,4,2238,2096,63.8,100.7,.350,.303,.519,53.6,48.6,8.9,8.4,.481,16.1,33.7,.248,2013
40,Nevada-Las Vegas,35,25,10,.714,12.92,5.71,10,6,17,2,6,6,2498,2206,68.9,91.1,.294,.319,.475,48.0,50.9,9.4,6.7,.439,16.3,29.5,.204,2013
41,New Mexico State,35,24,11,.686,5.11,0.70,14,4,15,1,6,8,2355,2175,65.2,94.6,.303,.299,.488,46.9,47.2,9.4,7.9,.450,16.2,31.6,.217,2013
42,New Mexico,35,29,6,.829,13.28,6.63,13,3,15,1,8,4,2355,2122,64.7,93.1,.257,.391,.486,50.6,57.9,8.3,8.5,.459,16.9,30.3,.173,2013
43,North Carolina A&T,37,20,17,.541,-6.94,-6.30,8,8,9,3,5,12,2299,2291,67.1,92.0,.409,.382,.488,53.6,57.0,10.1,10.8,.449,20.1,36.4,.267,2013
44,North Carolina State,35,24,11,.686,14.32,7.17,11,7,16,1,3,7,2708,2458,68.6,102.0,.290,.323,.504,49.8,45.6,8.7,8.2,.468,14.1,35.2,.210,2013
45,North Carolina,36,25,11,.694,14.52,8.01,12,6,14,2,7,6,2762,2492,71.6,96.3,.268,.330,.509,51.4,47.8,9.4,8.4,.480,18.6,35.0,.188,2013
46,Northwestern State,32,23,9,.719,0.41,-3.77,15,3,13,1,8,7,2559,2285,74.4,96.0,.388,.267,.499,52.4,48.1,9.3,5.4,.469,18.9,39.4,.243,2013
47,Notre Dame,35,25,10,.714,13.74,7.22,11,7,17,2,4,5,2450,2222,62.0,99.6,.246,.292,.495,49.4,60.7,9.0,9.3,.468,13.7,32.7,.170,2013
48,Ohio State,37,29,8,.784,20.19,9.32,13,5,16,2,5,5,2599,2197,64.3,92.0,.295,.362,.491,49.5,48.1,6.8,7.4,.454,18.0,30.0,.211,2013
49,Oklahoma State,33,24,9,.727,15.57,6.73,13,5,15,2,5,5,2371,2079,67.3,91.9,.351,.343,.485,50.9,46.4,8.7,7.3,.445,18.6,33.2,.241,2013
50,Oklahoma,32,20,12,.625,11.40,7.09,12,7,12,2,5,7,2260,2122,66.8,98.5,.314,.343,.507,51.3,50.1,9.5,6.5,.474,16.8,34.5,.218,2013
51,Oregon,37,28,9,.757,13.82,5.77,12,6,17,2,6,5,2650,2352,68.8,90.8,.333,.298,.498,47.5,47.5,9.6,7.1,.464,19.4,29.6,.225,2013
52,Pacific,35,22,13,.629,1.96,1.05,13,5,13,2,4,9,2344,2238,63.3,100.6,.371,.385,.529,52.2,55.7,8.2,7.8,.490,17.5,32.4,.264,2013
53,Pittsburgh,33,24,9,.727,18.82,5.63,12,6,16,3,6,3,2282,1847,60.4,91.6,.364,.354,.493,46.9,53.4,9.0,9.4,.446,19.2,33.0,.263,2013
54,Saint Louis,35,28,7,.800,14.33,4.28,13,3,17,2,6,3,2388,2036,64.5,89.5,.350,.266,.489,52.7,54.0,9.0,10.4,.455,20.5,31.9,.229,2013
55,Saint Mary's (CA),35,28,7,.800,14.51,3.31,14,2,16,1,9,2,2610,2203,64.5,97.2,.368,.287,.515,45.5,49.0,9.7,7.9,.473,16.1,26.9,.265,2013
56,San Diego State,34,23,11,.676,13.01,6.19,9,7,14,1,4,6,2356,2077,66.6,91.5,.282,.328,.478,49.6,56.4,7.9,7.9,.446,16.5,30.7,.191,2013
57,South Dakota State,35,25,10,.714,2.36,-3.27,13,3,13,0,7,9,2568,2300,64.0,101.3,.238,.346,.529,48.7,51.0,9.6,7.2,.506,15.2,26.8,.165,2013
58,Southern,33,23,10,.697,-2.61,-10.31,15,3,12,0,8,8,2223,1890,65.4,87.5,.342,.311,.453,53.1,41.9,7.7,8.2,.411,17.6,33.2,.230,2013
59,Syracuse,40,30,10,.750,20.30,8.57,11,7,17,2,5,5,2816,2347,65.2,89.4,.354,.403,.467,50.3,67.6,10.6,8.0,.426,19.7,38.4,.238,2013
60,Temple,34,24,10,.706,9.52,5.20,11,5,14,3,8,4,2456,2309,67.6,100.4,.341,.295,.528,53.5,51.6,7.4,8.0,.490,17.5,34.6,.247,2013
61,UCLA,35,25,10,.714,12.88,7.82,13,5,15,3,6,3,2604,2427,69.6,98.3,.246,.308,.498,53.4,52.2,8.9,7.3,.475,16.8,37.1,.164,2013
62,Valparaiso,34,26,8,.765,7.15,-1.13,13,3,15,2,10,5,2420,2119,65.1,95.4,.363,.262,.503,49.5,49.9,10.7,8.3,.459,17.3,31.4,.262,2013
63,Villanova,34,20,14,.588,10.74,8.53,10,8,12,4,6,7,2307,2214,67.4,94.9,.408,.365,.512,50.2,63.3,11.4,9.7,.472,19.3,32.1,.278,2013
64,Virginia Commonwealth,36,27,9,.750,16.89,4.47,12,4,15,2,8,3,2770,2323,68.6,93.4,.403,.329,.534,52.0,51.0,8.6,8.7,.499,24.6,37.2,.276,2013
65,Western Kentucky,36,20,16,.556,-0.65,-1.14,10,10,11,4,4,9,2409,2364,67.0,97.6,.381,.318,.514,49.7,44.7,9.0,10.8,.475,18.0,32.9,.265,2013
66,Wichita State,39,30,9,.769,14.68,6.09,12,6,14,2,7,5,2720,2385,64.9,94.3,.383,.366,.499,46.8,51.4,8.7,8.3,.453,17.5,29.6,.274,2013
67,Wisconsin,35,23,12,.657,18.76,9.73,12,6,15,3,5,6,2274,1958,61.4,89.9,.257,.249,.462,49.2,40.3,9.1,7.3,.430,15.6,28.9,.177,2013
