,school_name,g,wins,losses,win_loss_pct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,pace,def_rtg,opp_fta_per_fga_pct,opp_fg3a_per_fga_pct,opp_ts_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_efg_pct,opp_tov_pct,opp_orb_pct,opp_ft_rate,year
0,Alabama,35,27,8,.771,16.93,7.67,12,4,17,0,4,4,2658,2334,,,,,,47.2,,,,.408,,,,2002
1,Alcorn State,31,21,10,.677,-11.28,-14.18,16,2,11,0,8,9,2473,2374,,,,,,46.7,,,,.438,,,,2002
2,Arizona,34,24,10,.706,16.93,12.49,12,6,13,4,6,5,2793,2642,,,,,,49.6,,,,.437,,,,2002
3,Boston College,32,20,12,.625,8.95,5.91,8,8,11,5,5,4,2354,2257,,,,,,50.4,,,,.425,,,,2002
4,Boston University,32,22,10,.688,-4.68,-7.81,13,3,11,2,9,6,2147,2047,,,,,,48.1,,,,.390,,,,2002
5,UC-Santa Barbara,31,20,11,.645,5.55,-0.05,11,7,11,2,5,8,2066,1889,,,,,,47.4,,,,.383,,,,2002
6,University of California,32,23,9,.719,13.08,7.45,12,6,18,1,4,7,2310,2130,,,,,,51.2,,,,.418,,,,2002
7,Central Connecticut State,32,27,5,.844,-1.10,-9.29,19,1,13,2,11,2,2280,2018,,,,,,45.1,,,,.414,,,,2002
8,Charlotte,30,18,12,.600,13.61,8.68,11,5,11,3,6,7,2205,2057,,,,,,47.8,,,,.416,,,,2002
9,Cincinnati,35,31,4,.886,24.38,6.58,14,2,18,0,7,3,2738,2115,,,,,,46.0,,,,.374,,,,2002
10,Connecticut,34,27,7,.794,16.02,7.43,13,3,13,1,7,3,2646,2354,,,,,,47.0,,,,.380,,,,2002
11,Creighton,32,23,9,.719,8.38,1.38,14,4,12,3,7,5,2421,2197,,,,,,47.2,,,,.435,,,,2002
12,Davidson,31,21,10,.677,0.60,0.71,11,5,11,2,7,6,2192,2046,,,,,,48.8,,,,.380,,,,2002
13,Duke,35,31,4,.886,28.91,9.16,13,3,13,0,7,3,3112,2421,,,,,,49.3,,,,.421,,,,2002
14,Florida Atlantic,31,19,12,.613,-3.95,-5.33,13,7,10,3,6,8,2303,2235,,,,,,49.1,,,,.438,,,,2002
15,Florida,31,22,9,.710,22.27,8.37,10,6,13,2,6,4,2495,2064,,,,,,47.1,,,,.407,,,,2002
16,Georgia,32,22,10,.688,14.68,9.24,10,6,12,2,6,6,2444,2271,,,,,,48.5,,,,.430,,,,2002
17,Gonzaga,33,29,4,.879,13.90,0.74,13,1,13,0,11,2,2677,2197,,,,,,44.0,,,,.385,,,,2002
18,Hampton,33,26,7,.788,-0.40,-8.90,17,1,10,0,11,4,2623,2344,,,,,,48.0,,,,.434,,,,2002
19,Hawaii,33,27,6,.818,9.81,1.15,15,3,16,1,7,3,2367,2081,,,,,,51.0,,,,.408,,,,2002
20,Holy Cross,33,18,15,.545,-1.62,-5.10,9,5,9,3,6,8,2083,1968,,,,,,45.7,,,,.420,,,,2002
21,Illinois-Chicago,34,20,14,.588,1.45,1.42,8,8,11,2,3,10,2503,2400,,,,,,51.0,,,,.444,,,,2002
22,Illinois,35,26,9,.743,19.20,9.94,11,5,13,1,5,6,2708,2369,,,,,,46.9,,,,.416,,,,2002
23,Indiana,37,25,12,.676,19.19,12.08,11,5,10,1,6,5,2607,2316,,,,,,48.8,,,,.408,,,,2002
24,Kansas,37,33,4,.892,24.38,9.35,16,0,13,0,11,1,3365,2765,,,,,,44.5,,,,.402,,,,2002
25,Kent State,36,30,6,.833,13.67,2.10,17,1,12,0,10,3,2732,2305,,,,,,46.3,,,,.418,,,,2002
26,Kentucky,32,22,10,.688,19.15,11.99,10,6,12,3,5,4,2460,2183,,,,,,46.3,,,,.412,,,,2002
27,Marquette,33,26,7,.788,17.16,4.77,13,3,16,0,5,6,2413,2004,,,,,,46.6,,,,.402,,,,2002
28,Maryland,36,32,4,.889,23.50,9.38,15,1,15,0,7,2,3060,2552,,,,,,47.6,,,,.399,,,,2002
29,McNeese State,30,21,9,.700,-0.59,-5.80,17,3,13,0,8,8,2102,1909,,,,,,47.1,,,,.407,,,,2002
30,Miami (FL),32,24,8,.750,12.99,5.52,10,6,13,2,5,4,2395,2156,,,,,,51.2,,,,.400,,,,2002
31,Michigan State,31,19,12,.613,14.90,9.60,10,6,15,2,4,5,2150,1978,,,,,,44.1,,,,.395,,,,2002
32,Mississippi State,35,27,8,.771,14.42,7.33,10,6,14,1,7,5,2582,2334,,,,,,45.5,,,,.412,,,,2002
33,Mississippi,31,20,11,.645,13.61,6.85,9,7,13,1,4,7,2232,1993,,,,,,48.1,,,,.432,,,,2002
34,Missouri,36,24,12,.667,14.22,6.81,9,7,14,3,4,6,2877,2610,,,,,,47.0,,,,.447,,,,2002
35,Montana,31,16,15,.516,-4.20,-1.71,7,7,9,4,4,8,2218,2263,,,,,,51.4,,,,.437,,,,2002
36,Murray State,32,19,13,.594,0.65,-1.94,10,6,11,4,5,8,2514,2349,,,,,,46.1,,,,.446,,,,2002
37,North Carolina State,34,23,11,.676,15.85,8.17,9,7,14,4,6,5,2565,2304,,,,,,50.2,,,,.442,,,,2002
38,North Carolina-Wilmington,33,23,10,.697,6.15,-0.09,14,4,11,2,9,7,2240,2034,,,,,,50.4,,,,.409,,,,2002
39,Notre Dame,33,22,11,.667,15.70,6.17,10,6,9,4,7,4,2601,2256,,,,,,47.9,,,,.397,,,,2002
40,Ohio State,32,24,8,.750,16.14,7.26,11,5,15,2,5,5,2362,2078,,,,,,47.5,,,,.438,,,,2002
41,Oklahoma State,32,23,9,.719,14.39,6.80,10,6,13,2,5,5,2293,2050,,,,,,45.6,,,,.407,,,,2002
42,Oklahoma,36,31,5,.861,21.04,7.70,13,3,16,0,7,4,2807,2327,,,,,,46.0,,,,.406,,,,2002
43,Oregon,35,26,9,.743,19.67,6.93,14,4,17,0,5,7,2994,2538,,,,,,48.3,,,,.429,,,,2002
44,Pennsylvania,32,25,7,.781,7.96,-1.51,11,3,13,3,10,2,2342,2039,,,,,,51.0,,,,.410,,,,2002
45,Pepperdine,31,22,9,.710,8.59,3.36,13,1,11,1,7,6,2519,2319,,,,,,50.9,,,,.412,,,,2002
46,Pittsburgh,35,29,6,.829,14.69,4.55,13,3,16,1,7,2,2530,2133,,,,,,45.5,,,,.395,,,,2002
47,San Diego State,33,21,12,.636,7.69,6.02,7,7,12,3,6,8,2455,2339,,,,,,47.6,,,,.429,,,,2002
48,Siena,36,17,19,.472,-2.74,-3.71,9,9,12,5,3,11,2517,2482,,,,,,49.6,,,,.394,,,,2002
49,Southern California,32,22,10,.688,16.49,8.31,12,6,13,2,9,6,2494,2232,,,,,,48.7,,,,.423,,,,2002
50,Southern Illinois,36,28,8,.778,9.79,1.67,14,4,13,0,9,5,2717,2425,,,,,,47.8,,,,.403,,,,2002
51,St. John's (NY),32,20,12,.625,7.80,6.30,9,7,14,2,3,7,2250,2202,,,,,,50.0,,,,.422,,,,2002
52,Stanford,30,20,10,.667,17.03,9.03,12,6,10,3,7,5,2420,2180,,,,,,44.3,,,,.421,,,,2002
53,Texas Tech,32,23,9,.719,14.72,7.22,10,6,15,2,6,5,2532,2292,,,,,,50.8,,,,.423,,,,2002
54,Texas,34,22,12,.647,14.31,9.98,10,6,10,5,7,3,2657,2489,,,,,,46.7,,,,.438,,,,2002
55,Tulsa,34,27,7,.794,12.66,2.30,15,3,13,3,10,2,2726,2363,,,,,,49.1,,,,.430,,,,2002
56,UCLA,33,21,12,.636,13.14,10.77,11,7,11,4,5,6,2476,2398,,,,,,47.9,,,,.425,,,,2002
57,Utah,30,21,9,.700,10.68,5.18,10,4,14,2,6,6,2018,1839,,,,,,49.4,,,,.445,,,,2002
58,Valparaiso,33,25,8,.758,9.38,-1.24,12,2,11,1,8,5,2564,2180,,,,,,49.2,,,,.418,,,,2002
59,Wake Forest,34,21,13,.618,15.25,10.28,9,7,13,3,5,7,2789,2620,,,,,,48.0,,,,.442,,,,2002
60,Western Kentucky,32,28,4,.875,10.46,-0.28,13,1,14,0,10,3,2491,2069,,,,,,45.4,,,,.416,,,,2002
61,Winthrop,31,19,12,.613,-6.54,-8.21,10,4,9,4,7,5,2092,2018,,,,,,47.9,,,,.410,,,,2002
62,Wisconsin,32,19,13,.594,10.09,9.22,11,5,12,1,6,8,2144,2101,,,,,,50.1,,,,.456,,,,2002
63,Wyoming,31,22,9,.710,8.62,2.72,11,3,14,1,6,6,2324,2129,,,,,,44.7,,,,.409,,,,2002
64,Xavier,32,26,6,.813,13.90,4.09,14,2,13,1,9,4,2317,2003,,,,,,47.3,,,,.400,,,,2002
