,school_name,g,wins,losses,win_loss_pct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,pace,def_rtg,opp_fta_per_fga_pct,opp_fg3a_per_fga_pct,opp_ts_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_efg_pct,opp_tov_pct,opp_orb_pct,opp_ft_rate,year
0,Akron,36,23,13,.639,2.15,-1.02,9,7,14,2,5,9,2524,2365,67.0,96.4,.383,.302,.499,52.1,51.1,8.8,6.6,.464,17.8,32.7,.253,2011
1,Alabama-Birmingham,31,22,9,.710,8.55,2.78,12,4,13,2,8,5,2119,1940,63.1,96.8,.324,.297,.497,48.3,48.5,9.3,9.9,.459,16.5,30.6,.228,2011
2,Alabama State,35,17,18,.486,-13.37,-10.31,11,7,10,3,4,14,2146,2234,66.5,95.3,.515,.296,.506,49.3,55.9,11.2,6.8,.454,19.8,33.4,.352,2011
3,Arizona,38,30,8,.789,16.54,7.99,14,4,17,0,7,4,2905,2580,66.9,100.2,.366,.283,.520,46.9,52.8,8.7,9.8,.486,16.1,29.2,.248,2011
4,Little Rock,36,19,17,.528,-4.32,-2.97,7,9,10,5,3,10,2457,2426,65.4,102.0,.439,.352,.538,51.1,55.7,6.7,9.8,.494,18.1,31.3,.312,2011
5,Belmont,35,30,5,.857,13.07,-4.42,19,1,12,0,12,4,2790,2178,69.2,89.3,.462,.309,.506,47.5,53.5,9.8,13.0,.461,23.6,32.1,.313,2011
6,Boston University,35,21,14,.600,-2.48,-3.85,12,4,12,2,4,10,2270,2222,62.7,100.9,.301,.375,.495,49.8,53.9,7.9,10.9,.460,15.0,34.3,.212,2011
7,Brigham Young,37,32,5,.865,18.65,5.76,14,2,13,1,10,1,3012,2512,71.1,94.6,.327,.306,.500,48.1,51.4,8.1,8.8,.465,17.5,28.2,.225,2011
8,Bucknell,34,25,9,.735,2.39,-3.87,13,1,14,1,10,6,2387,2174,66.1,96.5,.350,.366,.494,50.3,56.5,8.3,7.0,.454,15.4,29.0,.244,2011
9,Butler,38,28,10,.737,11.53,5.02,13,5,12,2,7,6,2707,2437,64.5,98.1,.387,.355,.516,47.7,48.4,8.1,8.6,.481,16.7,27.9,.260,2011
10,UC-Santa Barbara,32,18,14,.563,1.22,0.12,8,8,9,4,5,8,2170,2105,65.2,99.8,.405,.365,.516,50.4,59.3,9.2,6.5,.473,17.4,31.9,.284,2011
11,Cincinnati,35,26,9,.743,15.41,6.10,11,7,15,3,7,4,2412,2086,63.6,93.3,.354,.296,.499,46.8,55.1,9.2,7.8,.458,19.1,31.0,.249,2011
12,Clemson,34,22,12,.647,13.76,6.58,9,7,15,2,3,7,2330,2086,65.1,93.6,.348,.324,.497,48.8,52.8,10.1,8.8,.456,19.7,32.5,.247,2011
