,school_name,g,wins,losses,win_loss_pct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,pace,def_rtg,opp_fta_per_fga_pct,opp_fg3a_per_fga_pct,opp_ts_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_efg_pct,opp_tov_pct,opp_orb_pct,opp_ft_rate,year
0,Alabama A&M,32,18,14,.563,-11.96,-12.86,12,6,9,3,6,8,2229,2169,,,,,,53.0,,,,.423,,,,2005
1,Alabama-Birmingham,33,22,11,.667,10.42,4.78,10,6,11,3,7,5,2557,2371,,,,,,53.4,,,,.440,,,,2005
2,Alabama,32,24,8,.750,16.74,6.81,12,4,14,1,8,4,2426,2083,,,,,,46.1,,,,.405,,,,2005
3,Arizona,37,30,7,.811,18.00,8.03,15,3,15,1,8,3,2948,2579,,,,,,47.1,,,,.434,,,,2005
4,Boston College,30,25,5,.833,14.38,6.41,13,3,16,1,7,2,2174,1935,,,,,,46.6,,,,.414,,,,2005
5,Bucknell,33,23,10,.697,2.12,-2.19,10,4,12,1,8,7,2097,1946,,,,,,49.7,,,,.392,,,,2005
6,Central Florida,33,24,9,.727,-4.91,-7.78,13,7,12,3,8,5,2304,2152,,,,,,45.8,,,,.425,,,,2005
7,Charlotte,29,21,8,.724,9.63,3.97,12,4,12,2,7,5,2257,2093,,,,,,49.0,,,,.437,,,,2005
8,Chattanooga,31,20,11,.645,-1.37,-3.59,10,6,13,3,7,7,2253,2034,,,,,,42.5,,,,.403,,,,2005
9,Cincinnati,33,25,8,.758,17.64,6.74,12,4,15,2,7,3,2505,2130,,,,,,47.1,,,,.373,,,,2005
10,Connecticut,31,23,8,.742,18.82,7.62,13,3,14,3,7,3,2419,2072,,,,,,42.9,,,,.378,,,,2005
11,Creighton,34,23,11,.676,10.14,3.84,11,7,11,5,7,5,2421,2207,,,,,,52.2,,,,.444,,,,2005
12,Delaware State,33,19,14,.576,-6.68,-6.89,14,4,9,1,6,11,2043,2036,,,,,,53.0,,,,.471,,,,2005
13,Duke,33,27,6,.818,23.01,10.04,11,5,14,1,5,4,2581,2153,,,,,,48.9,,,,.390,,,,2005
14,Eastern Kentucky,31,22,9,.710,-2.68,-5.18,11,5,12,1,8,7,2256,2078,,,,,,47.9,,,,.431,,,,2005
15,Fairleigh Dickinson,33,20,13,.606,-4.13,-6.91,13,5,12,3,7,8,2432,2310,,,,,,49.2,,,,.450,,,,2005
16,Florida,32,24,8,.750,20.18,7.12,12,4,13,3,6,4,2438,2020,,,,,,45.8,,,,.410,,,,2005
17,George Washington,30,22,8,.733,10.62,1.05,11,5,10,3,8,4,2308,2021,,,,,,47.8,,,,.426,,,,2005
18,Georgia Tech,32,20,12,.625,17.21,9.78,8,8,13,3,4,6,2371,2133,,,,,,48.4,,,,.391,,,,2005
19,Gonzaga,31,26,5,.839,13.30,4.37,12,2,14,0,6,3,2454,2159,,,,,,44.2,,,,.416,,,,2005
20,Illinois,39,37,2,.949,24.10,8.47,15,1,15,0,9,1,3002,2382,,,,,,47.7,,,,.415,,,,2005
21,Iowa State,31,19,12,.613,11.37,8.40,9,7,13,3,4,7,2112,2005,,,,,,50.4,,,,.415,,,,2005
22,Iowa,33,21,12,.636,14.97,9.34,7,9,13,3,3,6,2407,2221,,,,,,49.1,,,,.419,,,,2005
23,Kansas,30,23,7,.767,20.68,10.85,12,4,15,1,6,4,2251,1956,,,,,,47.6,,,,.387,,,,2005
