,school_name,g,wins,losses,win_loss_pct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,pace,def_rtg,opp_fta_per_fga_pct,opp_fg3a_per_fga_pct,opp_ts_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_efg_pct,opp_tov_pct,opp_orb_pct,opp_ft_rate,year
24,Kentucky,34,28,6,.824,19.16,8.10,14,2,14,1,7,3,2503,2127,,,,,,49.1,,,,.405,,,,2005
25,Louisiana-Lafayette,31,20,11,.645,5.71,1.91,11,4,11,1,5,9,2239,2109,,,,,,47.8,,,,.448,,,,2005
26,Louisiana State,30,20,10,.667,11.60,7.77,12,4,14,1,4,6,2257,2142,,,,,,46.7,,,,.444,,,,2005
27,Louisville,38,33,5,.868,22.57,6.18,14,2,15,2,10,1,3066,2436,,,,,,45.9,,,,.389,,,,2005
28,Michigan State,33,26,7,.788,20.47,7.41,13,3,14,1,6,4,2590,2159,,,,,,44.8,,,,.428,,,,2005
29,Milwaukee,32,26,6,.813,10.41,1.44,14,2,13,1,11,3,2400,2059,,,,,,49.3,,,,.413,,,,2005
30,Minnesota,32,21,11,.656,12.06,6.96,10,6,14,3,5,4,2175,2012,,,,,,48.0,,,,.424,,,,2005
31,Mississippi State,34,23,11,.676,12.55,6.05,9,7,11,2,5,5,2466,2245,,,,,,44.2,,,,.409,,,,2005
32,Montana,31,18,13,.581,-3.63,-3.49,9,5,12,2,4,10,2152,2132,,,,,,47.4,,,,.424,,,,2005
33,Nevada,32,25,7,.781,9.25,3.02,16,2,13,4,11,2,2225,1974,,,,,,44.7,,,,.388,,,,2005
34,New Mexico,33,26,7,.788,11.09,1.51,10,4,18,1,5,5,2492,2121,,,,,,48.4,,,,.416,,,,2005
35,Niagara,30,20,10,.667,3.12,-3.08,13,5,13,0,5,9,2537,2351,,,,,,45.3,,,,.465,,,,2005
36,North Carolina State,35,21,14,.600,16.16,9.16,7,9,11,6,5,6,2559,2314,,,,,,51.7,,,,.432,,,,2005
37,North Carolina,37,33,4,.892,28.42,10.66,14,2,15,0,8,2,3257,2600,,,,,,44.9,,,,.401,,,,2005
38,Northern Iowa,32,21,11,.656,10.14,5.31,11,7,13,2,6,7,2311,2127,,,,,,49.2,,,,.431,,,,2005
39,Oakland,32,13,19,.406,-2.66,0.86,7,9,6,5,3,13,2269,2352,,,,,,51.1,,,,.473,,,,2005
40,Ohio,32,21,11,.656,5.36,1.80,11,7,13,1,4,9,2288,2174,,,,,,50.4,,,,.434,,,,2005
41,Oklahoma State,33,26,7,.788,21.40,9.68,11,5,13,1,7,4,2583,2151,,,,,,46.0,,,,.445,,,,2005
42,Oklahoma,33,25,8,.758,19.96,8.84,12,4,14,1,6,3,2480,2088,,,,,,47.0,,,,.430,,,,2005
43,Old Dominion,34,28,6,.824,5.97,-2.59,15,3,14,1,11,4,2430,2079,,,,,,48.6,,,,.407,,,,2005
44,Pacific,31,27,4,.871,8.95,1.16,18,0,12,1,13,1,2258,2011,,,,,,45.4,,,,.414,,,,2005
45,Pennsylvania,29,20,9,.690,4.71,-1.98,13,1,12,1,8,7,1982,1788,,,,,,46.8,,,,.404,,,,2005
46,Pittsburgh,29,20,9,.690,14.53,5.73,10,6,13,4,6,3,2097,1842,,,,,,43.7,,,,.404,,,,2005
47,Saint Mary's (CA),34,25,9,.735,6.68,2.40,11,3,15,1,9,4,2373,2178,,,,,,47.0,,,,.424,,,,2005
48,Southeastern Louisiana,33,24,9,.727,-0.86,-5.22,13,3,13,1,8,6,2085,1842,,,,,,49.8,,,,.417,,,,2005
49,Southern Illinois,35,27,8,.771,11.53,5.12,15,3,15,0,8,6,2365,2123,,,,,,49.7,,,,.424,,,,2005
50,Stanford,31,18,13,.581,9.10,8.13,11,7,10,2,5,5,2173,2134,,,,,,49.6,,,,.425,,,,2005
51,Syracuse,34,27,7,.794,15.95,6.83,11,5,16,2,6,3,2548,2197,,,,,,47.2,,,,.390,,,,2005
52,Texas-El Paso,35,27,8,.771,9.61,0.91,14,4,16,2,7,4,2616,2278,,,,,,48.9,,,,.434,,,,2005
53,Texas Tech,33,22,11,.667,16.24,9.11,10,6,13,2,5,5,2535,2287,,,,,,50.4,,,,.433,,,,2005
54,Texas,31,20,11,.645,15.49,7.56,9,7,14,2,4,6,2384,2124,,,,,,46.6,,,,.394,,,,2005
55,UCLA,29,18,11,.621,9.16,7.09,11,7,12,3,6,5,2138,2078,,,,,,47.1,,,,.446,,,,2005
56,Utah State,32,24,8,.750,12.75,-1.47,13,5,14,1,6,5,2315,1848,,,,,,44.6,,,,.396,,,,2005
57,Utah,35,29,6,.829,14.01,4.54,13,1,16,0,7,3,2379,2005,,,,,,40.9,,,,.425,,,,2005
58,Vermont,32,25,7,.781,7.80,-1.95,16,2,13,0,10,6,2299,1987,,,,,,46.3,,,,.413,,,,2005
59,Villanova,32,24,8,.750,19.06,8.43,11,5,14,2,5,3,2336,1996,,,,,,47.1,,,,.395,,,,2005
60,Wake Forest,33,27,6,.818,20.24,10.27,13,3,16,0,8,4,2801,2441,,,,,,45.1,,,,.436,,,,2005
61,Washington,35,29,6,.829,19.77,7.66,14,4,15,0,6,5,3026,2596,,,,,,47.2,,,,.454,,,,2005
62,West Virginia,35,24,11,.686,11.76,7.62,8,8,11,3,6,5,2501,2356,,,,,,53.0,,,,.451,,,,2005
63,Winthrop,33,27,6,.818,0.48,-6.65,15,1,16,0,9,4,2245,1961,,,,,,47.6,,,,.399,,,,2005
64,Wisconsin,34,25,9,.735,16.76,9.61,11,5,15,1,5,6,2290,2047,,,,,,47.3,,,,.425,,,,2005
