,school_name,g,wins,losses,win_loss_pct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,pace,def_rtg,opp_fta_per_fga_pct,opp_fg3a_per_fga_pct,opp_ts_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_efg_pct,opp_tov_pct,opp_orb_pct,opp_ft_rate,year
0,American,33,21,12,.636,-1.87,-4.00,10,4,11,4,10,7,2140,2049,,,,,,47.8,,,,.415,,,,2008
1,Arizona,34,19,15,.559,14.55,10.22,8,10,11,6,6,7,2443,2276,,,,,,51.2,,,,.441,,,,2008
2,Arkansas,35,23,12,.657,12.48,6.73,9,7,15,1,2,7,2593,2392,,,,,,46.9,,,,.426,,,,2008
3,Austin Peay,35,24,11,.686,-2.21,-5.24,16,4,13,1,9,8,2590,2477,,,,,,52.0,,,,.467,,,,2008
4,Baylor,32,21,11,.656,11.46,5.75,9,7,12,4,6,4,2601,2396,,,,,,50.1,,,,.431,,,,2008
5,Belmont,34,25,9,.735,-0.12,-3.44,14,2,14,1,9,5,2714,2497,,,,,,48.9,,,,.456,,,,2008
6,Boise State,34,25,9,.735,1.60,-2.07,12,4,11,5,12,3,2767,2567,,,,,,48.3,,,,.442,,,,2008
7,Brigham Young,35,27,8,.771,11.82,1.33,14,2,16,0,8,5,2580,2213,,,,,,47.0,,,,.389,,,,2008
8,Butler,34,30,4,.882,13.00,2.64,16,2,14,1,11,2,2339,1985,,,,,,51.1,,,,.430,,,,2008
9,Cal State Fullerton,33,24,9,.727,5.64,-3.06,12,4,11,3,9,5,2700,2398,,,,,,49.3,,,,.463,,,,2008
10,Clemson,34,24,10,.706,18.05,9.08,10,6,14,2,7,5,2693,2372,,,,,,48.5,,,,.437,,,,2008
11,Connecticut,33,24,9,.727,15.54,6.76,13,5,16,1,7,4,2556,2266,,,,,,45.8,,,,.387,,,,2008
12,Coppin State,37,16,21,.432,-14.51,-6.20,7,9,5,5,4,14,2212,2443,,,,,,53.5,,,,.438,,,,2008
13,Cornell,28,22,6,.786,0.76,-4.74,14,0,12,1,10,4,2136,1917,,,,,,49.7,,,,.427,,,,2008
14,Davidson,36,29,7,.806,13.93,1.66,20,0,12,1,11,3,2803,2274,,,,,,47.6,,,,.422,,,,2008
15,Drake,33,28,5,.848,14.08,4.15,15,3,14,1,10,3,2440,2050,,,,,,47.8,,,,.435,,,,2008
16,Duke,34,28,6,.824,21.52,9.28,13,3,15,1,6,2,2830,2361,,,,,,49.9,,,,.435,,,,2008
17,George Mason,34,23,11,.676,6.07,-0.75,12,6,13,1,5,7,2356,2124,,,,,,47.2,,,,.420,,,,2008
18,Georgetown,34,28,6,.824,18.73,7.23,15,3,16,0,8,4,2367,1976,,,,,,47.9,,,,.366,,,,2008
19,Georgia,34,17,17,.500,7.24,7.03,4,12,11,5,2,8,2314,2290,,,,,,47.2,,,,.427,,,,2008
20,Gonzaga,33,25,8,.758,14.81,2.15,13,1,13,1,7,3,2524,2106,,,,,,46.3,,,,.397,,,,2008
21,Indiana,33,25,8,.758,15.78,6.08,14,4,17,2,7,3,2476,2156,,,,,,45.4,,,,.412,,,,2008
22,Kansas State,33,21,12,.636,15.79,7.79,10,6,14,2,3,5,2574,2274,,,,,,44.4,,,,.424,,,,2008
23,Kansas,40,37,3,.925,26.90,8.20,13,3,19,0,8,3,3221,2460,,,,,,44.4,,,,.379,,,,2008
24,Kent State,35,28,7,.800,7.47,0.41,13,3,16,0,8,5,2412,2165,,,,,,49.0,,,,.412,,,,2008
25,Kentucky,31,18,13,.581,9.19,7.09,12,4,14,4,4,6,2124,2034,,,,,,48.8,,,,.396,,,,2008
26,Louisville,36,27,9,.750,19.00,8.00,14,4,15,2,8,3,2611,2215,,,,,,48.0,,,,.388,,,,2008
27,Marquette,35,25,10,.714,18.62,8.09,11,7,15,2,5,5,2658,2269,,,,,,48.1,,,,.416,,,,2008
28,Maryland-Baltimore County,33,24,9,.727,0.06,-4.53,13,3,13,1,9,7,2450,2258,,,,,,50.8,,,,.434,,,,2008
29,Memphis,40,38,2,.950,23.73,5.76,16,0,19,1,10,0,3196,2477,,,,,,45.9,,,,.391,,,,2008
30,Miami (FL),34,23,11,.676,12.38,7.13,8,8,14,2,4,6,2542,2309,,,,,,48.6,,,,.407,,,,2008
